# H2+ rovibrational excitation energies      UGAMOP database
# indx     quantum state       energy
#      electronic     v    j   (cm^-1)
#-------------------------------------
  219 X ^2Sig^+g     8   13  17011.65
  220 X ^2Sig^+g     1   28  17077.08
  221 X ^2Sig^+g     9   10  17087.66
  222 X ^2Sig^+g     7   16  17136.67
  223 X ^2Sig^+g    10    6  17177.07
  224 X ^2Sig^+g     0   30  17293.72
  225 X ^2Sig^+g    10    7  17373.08
  226 X ^2Sig^+g     5   21  17383.16
  227 X ^2Sig^+g     4   23  17385.90
  228 X ^2Sig^+g     8   14  17387.15
  229 X ^2Sig^+g     9   11  17388.51
  230 X ^2Sig^+g     6   19  17446.41
  231 X ^2Sig^+g     3   25  17453.15
  232 X ^2Sig^+g     7   17  17576.49
  233 X ^2Sig^+g     2   27  17582.99
  234 X ^2Sig^+g    11    0  17590.58
  235 X ^2Sig^+g    10    8  17591.44
  236 X ^2Sig^+g    11    1  17618.26
  237 X ^2Sig^+g    11    2  17673.33
  238 X ^2Sig^+g     9   12  17705.28
  239 X ^2Sig^+g    11    3  17755.17
  240 X ^2Sig^+g     1   29  17773.34
  241 X ^2Sig^+g     8   15  17773.36
  242 X ^2Sig^+g    10    9  17830.10
  243 X ^2Sig^+g    11    4  17862.84
  244 X ^2Sig^+g     5   22  17920.83
  245 X ^2Sig^+g     6   20  17939.33
  246 X ^2Sig^+g     4   24  17965.14
  247 X ^2Sig^+g    11    5  17995.16
  248 X ^2Sig^+g     7   18  18021.61
  249 X ^2Sig^+g     0   31  18021.96
  250 X ^2Sig^+g     9   13  18035.50
  251 X ^2Sig^+g     3   26  18070.82
  252 X ^2Sig^+g    10   10  18086.88
  253 X ^2Sig^+g    11    6  18150.73
  254 X ^2Sig^+g     8   16  18167.76
  255 X ^2Sig^+g     2   28  18236.13
  256 X ^2Sig^+g    11    7  18327.87
  257 X ^2Sig^+g    10   11  18359.49
  258 X ^2Sig^+g     9   14  18376.68
  259 X ^2Sig^+g     6   21  18432.20
  260 X ^2Sig^+g     5   23  18455.64
  261 X ^2Sig^+g     1   30  18459.07
  262 X ^2Sig^+g     7   19  18469.49
  263 X ^2Sig^+g    12    0  18506.56
