# Data for C- transitions (Q) 
#  Number of transitions: 303 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     7      2      7      6              1229.99          5.88000E-02          1.12000E+09
    17      2     17      5              1232.89          8.94000E-02          1.07000E+09
     8      2      8      6              1233.01          5.88000E-02          1.12000E+09
     9      2      9      6              1236.30          5.88000E-02          1.12000E+09
    18      2     18      5              1237.91          9.29000E-02          1.07000E+09
    10      2     10      6              1239.81          5.88000E-02          1.11000E+09
    19      2     19      5              1242.85          9.68000E-02          1.06000E+09
    11      2     11      6              1243.49          5.87000E-02          1.11000E+09
    12      2     12      6              1247.32          5.86000E-02          1.10000E+09
    20      2     20      5              1247.67          1.01000E-01          1.05000E+09
    13      2     13      6              1251.25          5.83000E-02          1.10000E+09
    21      2     21      5              1252.32          1.06000E-01          1.05000E+09
    14      2     14      6              1255.24          5.78000E-02          1.09000E+09
    22      2     22      5              1256.72          1.11000E-01          1.04000E+09
    15      2     15      6              1259.23          5.71000E-02          1.08000E+09
     1      2      1      7              1261.64          1.53000E-02          1.14000E+09
     2      2      2      7              1262.38          1.52000E-02          1.14000E+09
    16      2     16      6              1263.19          5.60000E-02          1.08000E+09
     3      2      3      7              1263.47          1.50000E-02          1.14000E+09
     4      2      4      7              1264.90          1.48000E-02          1.13000E+09
     5      2      5      7              1266.64          1.45000E-02          1.13000E+09
    17      2     17      6              1267.06          5.45000E-02          1.07000E+09
     6      2      6      7              1268.66          1.42000E-02          1.13000E+09
    18      2     18      6              1270.80          5.24000E-02          1.07000E+09
     7      2      7      7              1270.93          1.38000E-02          1.12000E+09
     8      2      8      7              1273.42          1.33000E-02          1.12000E+09
    19      2     19      6              1274.32          4.95000E-02          1.06000E+09
     9      2      9      7              1276.09          1.28000E-02          1.12000E+09
    20      2     20      6              1277.57          4.56000E-02          1.05000E+09
    10      2     10      7              1278.90          1.21000E-02          1.11000E+09
    21      2     21      6              1280.45          4.04000E-02          1.05000E+09
    11      2     11      7              1281.80          1.14000E-02          1.11000E+09
    22      2     22      6              1282.84          3.36000E-02          1.04000E+09
    12      2     12      7              1284.75          1.06000E-02          1.10000E+09
    13      2     13      7              1287.70          9.60000E-03          1.10000E+09
    14      2     14      7              1290.61          8.52000E-03          1.09000E+09
    15      2     15      7              1293.40          7.33000E-03          1.08000E+09
    16      2     16      7              1296.03          6.02000E-03          1.08000E+09
    17      2     17      7              1298.43          4.63000E-03          1.07000E+09
    19      2     19      7              1302.19          1.84000E-03          1.06000E+09
    12      3     12      4              1144.17          2.96000E-02          1.09000E+09
    13      3     13      4              1149.72          2.98000E-02          1.08000E+09
    14      3     14      4              1155.51          3.00000E-02          1.08000E+09
    15      3     15      4              1161.50          3.01000E-02          1.07000E+09
    16      3     16      4              1167.66          3.03000E-02          1.07000E+09
    17      3     17      4              1173.96          3.04000E-02          1.06000E+09
    18      3     18      4              1180.37          3.04000E-02          1.06000E+09
    19      3     19      4              1186.84          3.03000E-02          1.05000E+09
     1      3      1      6              1189.37          4.51000E-02          1.12000E+09
     2      3      2      6              1190.28          4.54000E-02          1.12000E+09
     3      3      3      6              1191.62          4.60000E-02          1.12000E+09
    20      3     20      4              1193.37          3.02000E-02          1.05000E+09
     4      3      4      6              1193.40          4.67000E-02          1.12000E+09
     5      3      5      6              1195.57          4.76000E-02          1.11000E+09
     6      3      6      6              1198.12          4.86000E-02          1.11000E+09
    21      3     21      4              1199.86          2.98000E-02          1.04000E+09
     7      3      7      6              1201.03          5.00000E-02          1.11000E+09
     8      3      8      6              1204.25          5.15000E-02          1.10000E+09
     9      3      9      6              1207.75          5.33000E-02          1.10000E+09
    10      3     10      6              1211.51          5.54000E-02          1.10000E+09
    11      3     11      6              1215.47          5.78000E-02          1.09000E+09
