# Data for B+ transitions (P and R) 
#  Number of transitions: 2371 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     9      1     10      5              1427.19          5.95000E-03          1.12000E+09
     1      1      0      6              1427.49          9.55000E-02          1.74000E+09
     2      1      1      6              1427.71          6.23000E-02          1.63000E+09
    14      1     15      4              1427.88          1.13000E-02          9.71000E+08
     3      1      2      6              1428.89          5.48000E-02          1.53000E+09
    18      1     19      3              1429.50          4.64000E-02          7.76000E+08
     0      1      1      6              1429.96          3.30000E-02          1.86000E+09
     4      1      3      6              1431.01          5.08000E-02          1.45000E+09
     1      1      2      6              1432.63          4.03000E-02          1.74000E+09
     5      1      4      6              1434.07          4.80000E-02          1.37000E+09
    18      1     17      4              1436.01          3.54000E-02          7.76000E+08
     2      1      3      6              1436.23          4.37000E-02          1.63000E+09
    25      1     24      2              1437.12          3.77000E-02          6.61000E+08
    10      1     11      5              1437.31          5.78000E-03          1.07000E+09
     6      1      5      6              1438.04          4.57000E-02          1.30000E+09
    22      1     21      3              1440.20          6.06000E-02          6.80000E+08
    22      1     23      2              1440.70          4.33000E-02          6.80000E+08
     3      1      4      6              1440.74          4.59000E-02          1.53000E+09
    15      1     16      4              1441.09          1.19000E-02          8.67000E+08
    25      1     26      1              1441.99          1.65000E-02          6.61000E+08
     7      1      6      6              1442.87          4.37000E-02          1.24000E+09
    19      1     20      3              1444.77          4.77000E-02          7.49000E+08
     4      1      5      6              1446.12          4.74000E-02          1.45000E+09
    11      1     12      5              1448.03          5.65000E-03          1.02000E+09
     8      1      7      6              1448.53          4.18000E-02          1.18000E+09
    19      1     18      4              1449.18          3.62000E-02          7.49000E+08
     6      2      5      1              1140.12          2.39000E-02          1.30000E+09
    10      2     11      0              1143.12          4.95000E-03          1.07000E+09
    13      2     12      0              1144.52          3.93000E-03          9.39000E+08
     4      2      5      1              1144.98          1.96000E-02          1.45000E+09
     7      2      6      1              1145.46          2.34000E-02          1.23000E+09
     5      2      6      1              1151.17          1.99000E-02          1.37000E+09
     8      2      7      1              1151.70          2.30000E-02          1.17000E+09
    11      2     12      0              1154.11          4.86000E-03          1.02000E+09
    14      2     13      0              1155.57          3.70000E-03          9.27000E+08
     6      2      7      1              1158.26          2.01000E-02          1.30000E+09
     9      2      8      1              1158.83          2.26000E-02          1.12000E+09
    12      2     13      0              1165.84          4.77000E-03          9.83000E+08
     7      2      8      1              1166.20          2.03000E-02          1.23000E+09
    10      2      9      1              1166.81          2.22000E-02          1.07000E+09
    15      2     14      0              1167.35          3.48000E-03          8.66000E+08
     8      2      9      1              1174.99          2.04000E-02          1.17000E+09
    11      2     10      1              1175.62          2.18000E-02          1.02000E+09
    13      2     14      0              1178.27          4.67000E-03          9.39000E+08
    16      2     15      0              1179.81          3.27000E-03          8.35000E+08
     1      2      0      2              1179.92          5.05000E-02          1.73000E+09
     2      2      1      2              1180.43          3.45000E-02          1.63000E+09
     0      2      1      2              1181.90          1.62000E-02          1.86000E+09
     3      2      2      2              1181.93          3.19000E-02          1.53000E+09
     1      2      2      2              1184.38          1.92000E-02          1.73000E+09
     4      2      3      2              1184.43          3.13000E-02          1.45000E+09
     9      2     10      1              1184.59          2.06000E-02          1.12000E+09
    12      2     11      1              1185.23          2.13000E-02          9.83000E+08
     2      2      3      2              1187.84          2.04000E-02          1.63000E+09
     5      2      4      2              1187.90          3.14000E-02          1.37000E+09
    14      2     15      0              1191.37          4.57000E-03          9.27000E+08
     3      2      4      2              1192.27          2.11000E-02          1.53000E+09
     6      2      5      2              1192.32          3.19000E-02          1.30000E+09
