# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
    5    12     1.0417290116E+05     4.8797005555E+08     4.4756889544E-01
    5    13     1.0510255219E+05     4.8204491115E+08     5.2925058426E-01
    5    14     1.0599026588E+05     4.7855323133E+08     5.8305604558E-01
    5    15     1.0686343520E+05     4.7501861065E+08     6.3878948154E-01
    5    16     1.0769587732E+05     4.7190440947E+08     6.8886026011E-01
    5    17     1.0851822267E+05     4.6827821128E+08     7.1756237218E-01
    5    18     1.0929446483E+05     4.6672041000E+08     7.7702167360E-01
    5    19     1.1008334574E+05     3.4507976349E+08     8.1374037535E-01
    5    20     1.1078967197E+05     4.5018304414E+08     8.6627102171E-01
    5    21     1.1148220218E+05     3.9561861557E+08     9.0173245863E-01
    5    22     1.1218438782E+05     4.3885300003E+08     9.2742873393E-01
    5    23     1.1283473679E+05     4.2213764971E+08     9.5513500907E-01
    5    24     1.1348034569E+05     4.3670345983E+08     9.5085130237E-01
    5    25     1.1408239713E+05     4.3216703814E+08     9.6365342012E-01
    5    26     1.1467717503E+05     4.3303517751E+08     9.5377128245E-01
    5    27     1.1522723636E+05     4.4383191152E+08     9.4111761129E-01
    5    28     1.1577010238E+05     4.3493720426E+08     9.0678044862E-01
    5    29     1.1626202369E+05     4.6422902767E+08     8.7400047929E-01
    5    30     1.1674490460E+05     5.0495958264E+08     7.1616511982E-01
    5    31     1.1716655048E+05     5.1620472966E+08     7.2226209373E-01
    5    32     1.1756765770E+05     5.6374906072E+08     5.5635670417E-01
    5    33     1.1789181248E+05     6.0949388528E+08     4.8531013210E-01
    5    34     1.1816324119E+05     7.1149851827E+08     2.6046576808E-01
    5    35     1.1831044015E+05     8.3314450222E+08     1.2374235429E-01
    5    36     1.1835971722E+05     1.0555520746E+09     2.7103678007E-02
    6     0     9.0994186980E+04     2.2288559073E+01     1.0189213340E-01
    6     1     9.2275183960E+04     2.4602460279E+03     7.3174175205E-02
    6     2     9.3524539090E+04     3.0372836338E+04     1.1725751206E-01
    6     3     9.4742570110E+04     9.6369055258E+05     8.7284962154E-02
    6     4     9.5929313090E+04     6.5835227210E+06     8.6096996728E-02
    6     5     9.7084827680E+04     3.1234086630E+07     1.2528588253E-01
    6     6     9.8209207600E+04     1.6657609436E+08     9.4393651089E-02
    6     7     9.9302453030E+04     2.5899442214E+08     1.5902756675E-01
    6     8     1.0038814447E+05     2.7635048439E+08     1.7600746113E-01
    6     9     1.0139874738E+05     4.7050275751E+08     2.7046475922E-01
    6    10     1.0239553402E+05     4.2889004740E+08     3.6873058697E-01
    6    11     1.0337689448E+05     5.2405331291E+08     3.7704390306E-01
