# Data for C- states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    9     8     1.1539479547E+05     9.3922471000E+08     1.1982962888E+08     1.0590543389E+09     1.1314776257E-01     1.0213181901E-01
    9     9     1.1648030617E+05     6.1418380000E+08     4.5068120395E+08     1.0648650040E+09     4.2322848650E-01     1.1931911364E-01
    9    10     1.1739328512E+05     2.4178187800E+08     8.3772976886E+08     1.0795116469E+09     7.7602661472E-01     1.1127627177E-01
    9    11     1.1810568247E+05     1.9037695000E+08     9.1715590689E+08     1.1075328569E+09     8.2810717640E-01     1.2657355227E-01
   10     0     1.0222598106E+05     1.1488860608E+09     2.4870407436E-02     1.1488860608E+09     2.1647409856E-11     1.7456783344E+00
   10     1     1.0436959794E+05     1.1295689576E+09     6.6601535696E-02     1.1295689577E+09     5.8961903337E-11     8.4887512960E-01
   10     2     1.0638249208E+05     1.1117499535E+09     6.9406978383E+01     1.1117500229E+09     6.2430381788E-08     1.0113240556E-01
   10     3     1.0826622771E+05     1.0959446040E+09     6.1771080412E+02     1.0959452217E+09     5.6363291878E-07     2.3973011084E-01
   10     4     1.1002132374E+05     1.0820916288E+09     6.0224815341E+04     1.0821518536E+09     5.5652832031E-05     9.1143978539E-02
   10     5     1.1164634107E+05     1.0703388329E+09     4.0394614090E+05     1.0707427790E+09     3.7725787072E-04     1.9223144175E-01
   10     6     1.1313857733E+05     1.0544497300E+09     7.8720852659E+06     1.0623218153E+09     7.4102641523E-03     8.9446628722E-02
   10     7     1.1449283822E+05     1.0243751610E+09     3.3472331099E+07     1.0578474921E+09     3.1641925086E-02     1.6921087301E-01
   10     8     1.1570118484E+05     8.6099921000E+08     1.9745369997E+08     1.0584529100E+09     1.8654934774E-01     1.0017855493E-01
   10     9     1.1675102961E+05     6.9474127000E+08     3.7116940443E+08     1.0659106744E+09     3.4821811371E-01     1.6760755552E-01
   10    10     1.1762292432E+05     2.7282390300E+08     8.1010527871E+08     1.0829291817E+09     7.4806856477E-01     1.3294302277E-01
   10    11     1.1828397942E+05     2.0570815000E+08     9.0983904469E+08     1.1155471947E+09     8.1559888189E-01     1.3417881300E-01
   11     0     1.0280486569E+05     1.1431545678E+09     2.7450495068E-02     1.1431545678E+09     2.4012933894E-11     1.7382774226E+00
   11     1     1.0491729363E+05     1.1242191749E+09     9.3124397184E-01     1.1242191758E+09     8.2834734711E-10     1.0400557391E-01
   11     2     1.0689953014E+05     1.1068143953E+09     2.0715690857E+02     1.1068146025E+09     1.8716495799E-07     9.4375936846E-02
   11     3     1.0875293196E+05     1.0914439112E+09     1.9374628831E+03     1.0914458487E+09     1.7751342272E-06     1.0052731861E-01
   11     4     1.1047764564E+05     1.0779421410E+09     1.9704294163E+05     1.0781391839E+09     1.8276206316E-04     8.1593882669E-02
   11     5     1.1207189146E+05     1.0667347700E+09     5.9998316656E+05     1.0673347532E+09     5.6213213781E-04     1.4790078799E-01
   11     6     1.1353242280E+05     1.0339360570E+09     2.5747432465E+07     1.0596834895E+09     2.4297285672E-02     7.4774848790E-02
   11     7     1.1485348475E+05     1.0099429217E+09     4.6268187138E+07     1.0562111088E+09     4.3805813772E-02     1.4321088472E-01
   11     8     1.1602613281E+05     5.8043545000E+08     4.7796397540E+08     1.0583994254E+09     4.5159130280E-01     8.1476428287E-02
   11     9     1.1703615537E+05     2.4669328200E+08     8.2149635925E+08     1.0681896412E+09     7.6905478908E-01     9.9599040457E-02
   11    10     1.1786137161E+05     2.0436988500E+08     8.8351975031E+08     1.0878896353E+09     8.1214097610E-01     1.3864332593E-01
   12     0     1.0342005161E+05     1.1370905290E+09     3.0023204648E-02     1.1370905290E+09     2.6403530662E-11     1.7984016797E+00
   12     1     1.0549908020E+05     1.1185617456E+09     3.2712598789E+00     1.1185617489E+09     2.9245232838E-09     1.0422615779E-01
   12     2     1.0744843959E+05     1.1016171797E+09     2.1689183062E+02     1.1016173966E+09     1.9688489967E-07     1.5833818208E-01
   12     3     1.0926925504E+05     1.0867157616E+09     6.7988458587E+03     1.0867225604E+09     6.2562848202E-06     9.0535826232E-02
   12     4     1.1096123197E+05     1.0737460928E+09     2.0796983095E+05     1.0739540626E+09     1.9364872129E-04     1.3804757517E-01
   12     5     1.1252223767E+05     1.0621991100E+09     1.6236317023E+06     1.0638227417E+09     1.5262239081E-03     1.0400428976E-01
   12     6     1.1394837096E+05     1.0320599127E+09     2.4964522357E+07     1.0570244351E+09     2.3617734395E-02     1.2850514017E-01
   12     7     1.1523320848E+05     9.7112616752E+08     8.3545190362E+07     1.0546713579E+09     7.9214429915E-02     1.1842984468E-01
   12     8     1.1636658427E+05     6.7355495000E+08     3.8465654146E+08     1.0582114915E+09     3.6349684781E-01     1.3693162184E-01
   12     9     1.1733228691E+05     2.3696764000E+08     8.3293750905E+08     1.0699051491E+09     7.7851528221E-01     1.2407146817E-01
   12    10     1.1810432059E+05     1.9839407860E+08     8.9555076556E+08     1.0939448442E+09     8.1864343558E-01     1.5225893881E-01
   13     0     1.0406821297E+05     1.1307323558E+09     3.3436405600E-02     1.1307323558E+09     2.9570574706E-11     1.6730324265E+00
   13     1     1.0611175497E+05     1.1126410880E+09     2.4506423865E+01     1.1126411125E+09     2.2025452404E-08     6.5381629061E-02
   13     2     1.0802612739E+05     1.0961856167E+09     1.8882486198E+02     1.0961858055E+09     1.7225625531E-07     2.2123521420E-01
   13     3     1.0981219109E+05     1.0817542161E+09     5.6632233854E+04     1.0818108483E+09     5.2349478600E-05     5.6961571660E-02
   13     4     1.1146914365E+05     1.0694726000E+09     1.7088003368E+05     1.0696434800E+09     1.5975419555E-04     2.1159018028E-01
   13     5     1.1299446754E+05     1.0469047600E+09     1.3568001615E+07     1.0604727616E+09     1.2794295248E-02     5.3048793215E-02
   13     6     1.1438350746E+05     1.0320160021E+09     2.2509143400E+07     1.0545251455E+09     2.1345288442E-02     1.7770876182E-01
   13     7     1.1562900710E+05     5.9763182980E+08     4.6272276891E+08     1.0603545987E+09     4.3638493149E-01     5.7717470958E-02
   13     8     1.1671929920E+05     2.7376466000E+08     7.9636106325E+08     1.0701257233E+09     7.4417523656E-01     8.9812603966E-02
   13     9     1.1763566921E+05     2.1947307200E+08     8.5485445317E+08     1.0743275252E+09     7.9571120831E-01     1.4620480765E-01
   13    10     1.1834653976E+05     1.4048708389E+08     9.6389836680E+08     1.1043854507E+09     8.7279162017E-01     1.5424790613E-01
   14     0     1.0474603790E+05     1.1241155221E+09     8.5050413146E-02     1.1241155222E+09     7.5659851204E-11     6.6528812131E-01
   14     1     1.0675212541E+05     1.1064919441E+09     3.4127249605E+01     1.1064919782E+09     3.0842744708E-08     1.2724961406E-01
   14     2     1.0862950587E+05     1.0905613808E+09     6.2411548227E+02     1.0905620049E+09     5.7228793913E-07     1.1951798462E-01
   14     3     1.1037872949E+05     1.0766778748E+09     7.1970304921E+04     1.0767498451E+09     6.6840320664E-05     1.1734914075E-01
   14     4     1.1199842902E+05     1.0649243200E+09     3.2705255837E+05     1.0652513726E+09     3.0701913820E-04     1.5023494736E-01
   14     5     1.1348563495E+05     1.0419803800E+09     1.4724927665E+07     1.0567053077E+09     1.3934753198E-02     1.1163170846E-01
   14     6     1.1483485477E+05     1.0156995503E+09     3.6325050061E+07     1.0520246004E+09     3.4528707835E-02     1.4821881196E-01
   14     7     1.1603776698E+05     6.8283143720E+08     3.6960002790E+08     1.0524314651E+09     3.5118678998E-01     1.1912607627E-01
