# Data for B+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
   22    15     1.1100279468E+05     2.3177623870E+08     4.8554601702E+08     7.1732225572E+08     6.7688687079E-01     9.3030400310E-01
   22    16     1.1170351347E+05     2.1054336900E+08     4.8032287684E+08     6.9086624584E+08     6.9524727794E-01     9.6783411362E-01
   22    17     1.1237999511E+05     2.0323562000E+08     4.6755338821E+08     6.7078900821E+08     6.9702005025E-01     1.0008584326E+00
   22    18     1.1303570707E+05     1.8461310300E+08     4.6327679318E+08     6.4788989618E+08     7.1505482013E-01     1.0277696348E+00
   22    19     1.1366479678E+05     1.7198424000E+08     4.5699680701E+08     6.2898104701E+08     7.2656689606E-01     1.0470031988E+00
   22    20     1.1427406614E+05     1.6757097918E+08     4.5084467746E+08     6.1841565664E+08     7.2903179701E-01     1.0555399961E+00
   22    21     1.1485380571E+05     1.4728092000E+08     4.5319965137E+08     6.0048057137E+08     7.5472825097E-01     1.0584176442E+00
   22    22     1.1540180505E+05     2.1329263100E+08     3.9403826199E+08     6.0733089299E+08     6.4880325789E-01     1.0448945331E+00
   22    23     1.1594352172E+05     1.2373525500E+08     4.5888321758E+08     5.8261847258E+08     7.8762215614E-01     1.0269731392E+00
   22    24     1.1644496372E+05     1.1536297400E+08     4.6848100197E+08     5.8384397597E+08     8.0240787137E-01     9.8230783534E-01
   22    25     1.1692381817E+05     1.0731653120E+08     4.9414409266E+08     6.0146062386E+08     8.2157347141E-01     9.1008831879E-01
   22    26     1.1736102084E+05     9.3622174300E+07     5.1607678308E+08     6.0969895738E+08     8.4644524455E-01     8.3978224786E-01
   22    27     1.1774557214E+05     1.2469484000E+08     6.1066243066E+08     7.3535727066E+08     8.3042958168E-01     5.5311025990E-01
   22    28     1.1811122866E+05     7.0697824400E+07     5.9415835673E+08     6.6485618113E+08     8.9366448503E-01     6.0498465432E-01
   23     0     9.7941692440E+04     1.1321538250E+09     4.6845567051E+06     1.1368383817E+09     4.1206883762E-03     2.6577197570E-01
   23     1     9.9014507770E+04     7.9514911000E+08     3.1925105125E+07     8.2707421513E+08     3.8600048873E-02     3.1015405944E-01
   23     2     1.0006196808E+05     5.9301783500E+08     2.7613978347E+08     8.6915761847E+08     3.1770967383E-01     3.1134404564E-01
   23     3     1.0108361667E+05     5.6008332000E+08     5.5829197969E+08     1.1183752997E+09     4.9919913275E-01     3.1942048980E-01
   23     4     1.0207915218E+05     5.0272521400E+08     5.5120633089E+08     1.0539315449E+09     5.2300012611E-01     4.0073013985E-01
   23     5     1.0304842780E+05     4.3056871230E+08     5.2563527690E+08     9.5620398920E+08     5.4971039949E-01     4.8079303241E-01
   23     6     1.0399140615E+05     3.9800131680E+08     5.5354680626E+08     9.5154812306E+08     5.8173285496E-01     5.2525629184E-01
   23     7     1.0490815539E+05     3.8595127600E+08     5.5075288441E+08     9.3670416041E+08     5.8796886753E-01     5.8534751086E-01
   23     8     1.0579882527E+05     3.6372731000E+08     5.4510255710E+08     9.0882986710E+08     5.9978503880E-01     6.4325249916E-01
   23     9     1.0666361888E+05     3.2800199200E+08     5.3090396039E+08     8.5890595239E+08     6.1811652243E-01     7.0276565543E-01
   23    10     1.0750278603E+05     2.9194835300E+08     5.1641395763E+08     8.0836231063E+08     6.3883972674E-01     7.6015420174E-01
   23    11     1.0831658347E+05     2.6584798113E+08     5.1473647123E+08     7.8058445236E+08     6.5942444751E-01     8.0077527716E-01
   23    12     1.0910529882E+05     2.5049320150E+08     5.0735640310E+08     7.5784960460E+08     6.6946845393E-01     8.4532254145E-01
   23    13     1.0986923070E+05     2.4088294900E+08     5.0378375974E+08     7.4466670874E+08     6.7652246814E-01     8.8238270056E-01
   23    14     1.1060864158E+05     2.3161753000E+08     4.9420620194E+08     7.2582373194E+08     6.8089011173E-01     9.2443720563E-01
   23    15     1.1132372178E+05     2.1997753910E+08     4.8433749577E+08     7.0431503487E+08     6.8767166934E-01     9.6349701531E-01
   23    16     1.1201524324E+05     2.0568020100E+08     4.7435166122E+08     6.8003186222E+08     6.9754328815E-01     9.9932041287E-01
   23    17     1.1268226974E+05     1.8873053000E+08     4.6688239573E+08     6.5561292573E+08     7.1213116369E-01     1.0281793527E+00
   23    18     1.1333442347E+05     4.1703670100E+08     3.3528810949E+08     7.5232481049E+08     4.4566935028E-01     1.0528086426E+00
   23    19     1.1394598946E+05     1.5926020300E+08     4.5679914145E+08     6.1605934445E+08     7.4148561428E-01     1.0643984229E+00
   23    20     1.1454068224E+05     1.5314559300E+08     4.5101868352E+08     6.0416427652E+08     7.4651663637E-01     1.0735242630E+00
   23    21     1.1511428960E+05     1.2960746020E+08     4.5282916696E+08     5.8243662716E+08     7.7747371275E-01     1.0695084672E+00
   23    22     1.1565946859E+05     1.2112759000E+08     4.5579099842E+08     5.7691858842E+08     7.9004387719E-01     1.0551047520E+00
   23    23     1.1618562641E+05     1.4661542180E+08     4.3420598356E+08     5.8082140536E+08     7.4757228221E-01     1.0257509860E+00
   23    24     1.1667236026E+05     1.0512466400E+08     4.7638742613E+08     5.8151209013E+08     8.1922187727E-01     9.7663439324E-01
