# Data for B+ transitions (P and R) 
#  Number of transitions: 298 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     7     10      6      0               998.43          1.79000E-02          1.04000E+09
     8     10      7      0              1004.20          1.71000E-02          1.04000E+09
     0     11      1      0               973.34          5.90000E-03          1.02000E+09
     1     11      2      0               975.35          6.64000E-03          1.02000E+09
     2     11      3      0               978.22          6.73000E-03          1.02000E+09
     3     11      4      0               981.95          6.71000E-03          1.02000E+09
     4     11      5      0               986.52          6.72000E-03          1.02000E+09
     5     11      6      0               991.92          6.83000E-03          1.01000E+09
     6     11      7      0               998.11          7.13000E-03          1.01000E+09
     1     11      0      0               971.99          2.00000E-02          1.02000E+09
     2     11      1      0               972.63          1.41000E-02          1.02000E+09
     3     11      2      0               974.16          1.32000E-02          1.02000E+09
     4     11      3      0               976.55          1.29000E-02          1.02000E+09
     5     11      4      0               979.81          1.28000E-02          1.01000E+09
     6     11      5      0               983.90          1.26000E-02          1.01000E+09
     7     11      6      0               988.81          1.22000E-02          1.00000E+09
     8     11      7      0               994.52          1.09000E-02          9.97000E+08
     0     12      1      0               964.31          5.03000E-03          9.82000E+08
     1     12      2      0               966.28          6.50000E-03          9.82000E+08
     2     12      3      0               969.09          8.16000E-03          9.83000E+08
     3     12      4      0               972.69          1.36000E-02          1.00000E+09
     4     12      5      0               977.46          3.64000E-04          9.94000E+08
     5     12      6      0               982.73          2.57000E-03          9.72000E+08
     6     12      7      0               988.84          3.58000E-03          9.64000E+08
     1     12      0      0               962.98          1.32000E-02          9.82000E+08
     2     12      1      0               963.61          7.07000E-03          9.83000E+08
     3     12      2      0               965.05          1.58000E-03          1.00000E+09
     4     12      3      0               967.68          2.28000E-02          9.94000E+08
     5     12      4      0               970.84          1.60000E-02          9.72000E+08
     6     12      5      0               974.89          1.42000E-02          9.64000E+08
     7     12      6      0               979.76          1.35000E-02          9.58000E+08
     8     12      7      0               985.44          1.32000E-02          9.51000E+08
     0     13      1      0               955.71          4.23000E-03          9.41000E+08
     1     13      2      0               957.65          4.81000E-03          9.40000E+08
     2     13      3      0               960.45          4.93000E-03          9.39000E+08
     3     13      4      0               964.09          4.99000E-03          9.36000E+08
     4     13      5      0               968.56          5.10000E-03          9.33000E+08
     5     13      6      0               973.83          5.36000E-03          9.30000E+08
     6     13      7      0               979.88          5.96000E-03          9.26000E+08
     1     13      0      0               954.41          1.42000E-02          9.40000E+08
     2     13      1      0               955.07          9.88000E-03          9.39000E+08
     3     13      2      0               956.58          9.21000E-03          9.36000E+08
     4     13      3      0               958.95          8.97000E-03          9.33000E+08
     5     13      4      0               962.15          8.75000E-03          9.30000E+08
     6     13      5      0               966.18          8.32000E-03          9.26000E+08
     7     13      6      0               971.00          7.11000E-03          9.25000E+08
     8     13      7      0               976.47          1.92000E-03          9.60000E+08
     0     14      1      0               947.51          3.52000E-03          9.03000E+08
     1     14      2      0               949.35          9.28000E-03          9.71000E+08
     2     14      3      0               952.27          6.58000E-04          9.27000E+08
     3     14      4      0               955.85          1.69000E-03          9.07000E+08
     4     14      5      0               960.27          2.24000E-03          8.99000E+08
     5     14      6      0               965.48          2.61000E-03          8.94000E+08
     6     14      7      0               971.48          2.93000E-03          8.88000E+08
     1     14      0      0               946.17          1.34000E-03          9.71000E+08
     2     14      1      0               946.98          1.97000E-02          9.27000E+08
     3     14      2      0               948.47          1.29000E-02          9.07000E+08
     4     14      3      0               950.82          1.09000E-02          8.99000E+08
     5     14      4      0               954.00          1.00000E-02          8.94000E+08
     6     14      5      0               958.01          9.62000E-03          8.88000E+08
     7     14      6      0               962.82          9.36000E-03          8.83000E+08
     8     14      7      0               968.42          9.14000E-03          8.77000E+08
     0     15      1      0               939.71          2.91000E-03          8.68000E+08
     1     15      2      0               941.60          3.37000E-03          8.67000E+08
     2     15      3      0               944.33          3.53000E-03          8.66000E+08
     3     15      4      0               947.89          3.65000E-03          8.64000E+08
     4     15      5      0               952.25          3.88000E-03          8.62000E+08
     5     15      6      0               957.41          4.35000E-03          8.60000E+08
     6     15      7      0               963.32          5.58000E-03          8.62000E+08
     1     15      0      0               938.47          9.51000E-03          8.67000E+08
     2     15      1      0               939.12          6.56000E-03          8.66000E+08
     3     15      2      0               940.63          6.03000E-03          8.64000E+08
     4     15      3      0               942.96          5.74000E-03          8.62000E+08
     5     15      4      0               946.12          5.33000E-03          8.60000E+08
     6     15      5      0               950.07          4.37000E-03          8.62000E+08
     7     15      6      0               954.70          1.14000E-03          9.02000E+08
     8     15      7      0               960.70          1.36000E-02          8.70000E+08
     0     16      1      0               932.27          2.40000E-03          8.35000E+08
     1     16      2      0               934.14          2.24000E-03          8.36000E+08
     2     16      3      0               936.86          2.05000E-03          8.35000E+08
     3     16      4      0               940.39          1.99000E-03          8.33000E+08
     4     16      5      0               944.72          2.03000E-03          8.30000E+08
     5     16      6      0               949.84          2.14000E-03          8.27000E+08
     6     16      7      0               955.73          2.31000E-03          8.23000E+08
     1     16      0      0               931.06          1.07000E-02          8.36000E+08
     2     16      1      0               931.73          7.53000E-03          8.35000E+08
     3     16      2      0               933.24          6.89000E-03          8.33000E+08
     4     16      3      0               935.58          6.57000E-03          8.30000E+08
     5     16      4      0               938.73          6.38000E-03          8.27000E+08
     6     16      5      0               942.69          6.24000E-03          8.23000E+08
     7     16      6      0               947.43          6.09000E-03          8.18000E+08
     8     16      7      0               952.94          5.85000E-03          8.15000E+08
     0     17      1      0               925.17          1.97000E-03          8.04000E+08
     1     17      2      0               927.02          2.33000E-03          8.04000E+08
     2     17      3      0               929.69          2.51000E-03          8.03000E+08
     3     17      4      0               933.17          2.71000E-03          8.02000E+08
     4     17      5      0               937.44          3.08000E-03          8.02000E+08
     5     17      6      0               942.48          4.01000E-03          8.07000E+08
     6     17      7      0               948.16          7.70000E-03          8.57000E+08
     1     17      0      0               923.98          6.17000E-03          8.04000E+08
     2     17      1      0               924.64          4.16000E-03          8.03000E+08
     3     17      2      0               926.13          3.70000E-03          8.02000E+08
     4     17      3      0               928.44          3.30000E-03          8.02000E+08
     5     17      4      0               931.54          2.53000E-03          8.07000E+08
     6     17      5      0               935.32          4.56000E-04          8.57000E+08
     7     17      6      0               940.49          9.93000E-03          8.29000E+08
     8     17      7      0               945.87          7.40000E-03          7.90000E+08
     0     18      1      0               918.41          1.61000E-03          7.76000E+08
     1     18      2      0               920.24          1.68000E-03          7.76000E+08
     2     18      3      0               922.89          1.62000E-03          7.75000E+08
     3     18      4      0               926.35          1.58000E-03          7.74000E+08
     4     18      5      0               930.61          1.58000E-03          7.72000E+08
     5     18      6      0               935.63          1.66000E-03          7.69000E+08
     6     18      7      0               941.42          1.80000E-03          7.66000E+08
     1     18      0      0               917.25          6.18000E-03          7.76000E+08
     2     18      1      0               917.92          4.43000E-03          7.75000E+08
     3     18      2      0               919.42          4.17000E-03          7.74000E+08
     4     18      3      0               921.73          4.07000E-03          7.72000E+08
     5     18      4      0               924.85          4.00000E-03          7.69000E+08
     6     18      5      0               928.76          3.92000E-03          7.66000E+08
     7     18      6      0               933.44          3.76000E-03          7.64000E+08
     8     18      7      0               938.87          3.39000E-03          7.63000E+08
     0     19      1      0               911.97          1.32000E-03          7.49000E+08
     1     19      2      0               913.77          1.61000E-03          7.49000E+08
     2     19      3      0               916.38          1.83000E-03          7.49000E+08
     3     19      4      0               919.79          2.13000E-03          7.51000E+08
     4     19      5      0               923.96          2.87000E-03          7.60000E+08
     5     19      6      0               928.78          5.63000E-03          8.36000E+08
     6     19      7      0               934.96          4.72000E-06          7.85000E+08
     3     19      2      0               912.95          2.01000E-03          7.51000E+08
     4     19      3      0               915.21          1.35000E-03          7.60000E+08
     5     19      4      0               918.15          4.53000E-05          8.36000E+08
     6     19      5      0               922.48          6.67000E-03          7.85000E+08
     7     19      6      0               927.05          4.99000E-03          7.46000E+08
     8     19      7      0               932.44          4.44000E-03          7.35000E+08
