# Data for D+ transitions (P and R) 
#  Number of transitions: 679 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
    12      0     13      9              1201.62          3.07568E-05          2.96595E+08
    12      0     11      9              1185.10          1.27896E-06          2.96595E+08
    12      0     13     10              1221.34          8.54596E-06          2.96595E+08
    12      0     11     10              1207.21          1.88703E-05          2.96595E+08
    12      0     11     11              1224.64          9.76530E-07          2.96595E+08
    13      0     14      0               934.09          4.45313E-03          3.25449E+08
    13      0     12      0               912.76          4.09682E-05          3.25449E+08
    13      0     14      1               966.58          1.16043E-02          3.25449E+08
    13      0     12      1               944.95          7.02509E-04          3.25449E+08
    13      0     14      2               999.15          1.01706E-02          3.25449E+08
    13      0     12      2               977.33          3.25609E-03          3.25449E+08
    13      0     14      3              1031.58          3.47330E-03          3.25449E+08
    13      0     12      3              1009.69          6.06655E-03          3.25449E+08
    13      0     14      4              1063.60          4.74252E-04          3.25449E+08
    13      0     12      4              1041.80          4.79465E-03          3.25449E+08
    13      0     14      5              1094.86          1.02565E-04          3.25449E+08
    13      0     12      5              1073.36          1.18793E-03          3.25449E+08
    13      0     14      6              1124.93          1.50305E-04          3.25449E+08
    13      0     12      6              1103.99          2.21658E-06          3.25449E+08
    13      0     14      7              1153.26          9.10638E-05          3.25449E+08
    13      0     12      7              1133.21          2.64222E-04          3.25449E+08
    13      0     14      8              1179.14          1.02599E-07          3.25449E+08
    13      0     12      8              1160.43          9.24594E-05          3.25449E+08
    13      0     14      9              1201.66          2.41709E-05          3.25449E+08
    13      0     12      9              1184.89          1.61918E-06          3.25449E+08
    13      0     14     10              1219.57          7.84152E-06          3.25449E+08
    13      0     12     10              1205.62          1.54943E-05          3.25449E+08
    13      0     12     11              1221.24          1.22887E-06          3.25449E+08
     1      1      2      2               936.77          1.81125E-05          3.54138E+08
     1      1      0      2               933.97          3.30944E-05          3.54138E+08
     1      1      2      3               970.20          1.69005E-03          3.54138E+08
     1      1      0      3               967.36          1.51133E-02          3.54138E+08
     1      1      2      4              1003.81          3.59790E-03          3.54138E+08
     1      1      0      4              1000.94          2.93218E-02          3.54138E+08
     1      1      2      5              1037.39          1.93441E-03          3.54138E+08
     1      1      0      5              1034.51          1.62502E-02          3.54138E+08
     1      1      2      6              1070.67          4.13589E-04          3.54138E+08
     1      1      0      6              1067.80          4.62163E-03          3.54138E+08
     1      1      2      7              1103.33          2.25686E-05          3.54138E+08
     1      1      0      7              1100.49          9.42312E-04          3.54138E+08
     1      1      2      8              1134.94          1.07814E-05          3.54138E+08
     1      1      0      8              1132.18          2.23509E-05          3.54138E+08
     1      1      2      9              1165.00          2.17085E-06          3.54138E+08
     1      1      0      9              1162.35          8.38775E-07          3.54138E+08
     1      1      2     10              1192.87          3.76752E-06          3.54138E+08
     1      1      0     10              1190.39          2.90277E-05          3.54138E+08
     1      1      2     11              1217.76          1.18938E-06          3.54138E+08
     1      1      0     11              1215.52          1.38375E-05          3.54138E+08
     1      1      2     12              1238.70          2.55365E-06          3.54138E+08
     1      1      0     12              1236.80          8.02162E-06          3.54138E+08
     1      1      2     13              1254.50          3.64135E-05          3.54138E+08
     1      1      0     13              1253.05          4.03756E-04          3.54138E+08
     1      1      2     14              1263.69          2.14083E-06          3.54138E+08
     1      1      0     14              1262.90          1.37068E-05          3.54138E+08
     2      1      3      2               938.55          2.00943E-05          3.51354E+08
     2      1      1      2               933.91          3.94926E-08          3.51354E+08
     2      1      3      3               971.95          2.44007E-03          3.51354E+08
     2      1      1      3               967.24          7.37644E-03          3.51354E+08
     2      1      3      4              1005.51          5.19974E-03          3.51354E+08
     2      1      1      4              1000.75          1.30181E-02          3.51354E+08
     2      1      3      5              1039.02          3.09681E-03          3.51354E+08
     2      1      1      5              1034.25          7.80617E-03          3.51354E+08
     2      1      3      6              1072.21          5.66386E-04          3.51354E+08
     2      1      1      6              1067.46          2.38316E-03          3.51354E+08
     2      1      3      7              1104.75          3.44210E-06          3.51354E+08
     2      1      1      7              1100.06          4.96002E-04          3.51354E+08
     2      1      3      8              1136.21          1.75104E-05          3.51354E+08
     2      1      1      8              1131.64          8.16502E-05          3.51354E+08
     2      1      3      9              1166.08          3.44994E-06          3.51354E+08
     2      1      1      9              1161.70          5.98887E-06          3.51354E+08
     2      1      3     10              1193.69          2.53072E-07          3.51354E+08
     2      1      1     10              1189.60          4.43883E-08          3.51354E+08
     2      1      3     11              1218.26          1.66846E-07          3.51354E+08
     2      1      1     11              1214.58          4.52031E-07          3.51354E+08
     2      1      3     12              1238.80          9.61907E-09          3.51354E+08
     2      1      1     12              1235.69          9.23096E-10          3.51354E+08
     2      1      3     13              1254.09          4.25341E-08          3.51354E+08
     2      1      1     13              1251.75          2.22016E-07          3.51354E+08
     2      1      3     14              1262.58          2.42519E-09          3.51354E+08
     2      1      1     14              1261.35          6.98891E-09          3.51354E+08
     3      1      4      2               940.74          3.80556E-05          3.47866E+08
     3      1      2      2               934.29          5.88958E-06          3.47866E+08
     3      1      4      3               974.08          2.80499E-03          3.47866E+08
     3      1      2      3               967.54          5.86906E-03          3.47866E+08
     3      1      4      4              1007.57          6.32316E-03          3.47866E+08
     3      1      2      4              1000.96          9.56672E-03          3.47866E+08
     3      1      4      5              1040.98          3.82368E-03          3.47866E+08
     3      1      2      5              1034.35          5.50869E-03          3.47866E+08
     3      1      4      6              1074.04          6.35014E-04          3.47866E+08
     3      1      2      6              1067.44          1.82339E-03          3.47866E+08
     3      1      4      7              1106.40          1.39391E-07          3.47866E+08
     3      1      2      7              1099.89          5.29304E-04          3.47866E+08
     3      1      4      8              1137.64          4.36740E-05          3.47866E+08
     3      1      2      8              1131.31          1.40490E-04          3.47866E+08
     3      1      4      9              1167.23          6.87027E-06          3.47866E+08
     3      1      2      9              1161.17          1.50396E-05          3.47866E+08
     3      1      4     10              1194.50          6.99035E-07          3.47866E+08
     3      1      2     10              1188.86          1.47888E-07          3.47866E+08
     3      1      4     11              1218.63          4.92616E-07          3.47866E+08
     3      1      2     11              1213.57          9.57694E-07          3.47866E+08
     3      1      4     12              1238.62          9.57983E-09          3.47866E+08
     3      1      2     12              1234.37          1.26346E-08          3.47866E+08
     3      1      4     13              1253.20          2.20757E-08          3.47866E+08
     3      1      2     13              1250.06          1.03721E-07          3.47866E+08
     3      1      2     14              1259.19          3.13089E-09          3.47866E+08
     4      1      5      2               943.35          6.86271E-05          3.41443E+08
     4      1      3      2               935.13          2.84130E-05          3.41443E+08
     4      1      5      3               976.61          2.86492E-03          3.41443E+08
     4      1      3      3               968.28          5.40200E-03          3.41443E+08
     4      1      5      4              1010.00          7.06256E-03          3.41443E+08
     4      1      3      4              1001.59          7.75251E-03          3.41443E+08
     4      1      5      5              1043.27          4.44920E-03          3.41443E+08
     4      1      3      5              1034.83          4.05248E-03          3.41443E+08
     4      1      5      6              1076.15          6.77573E-04          3.41443E+08
     4      1      3      6              1067.76          1.42711E-03          3.41443E+08
     4      1      5      7              1108.28          1.05701E-05          3.41443E+08
     4      1      3      7              1100.02          5.99586E-04          3.41443E+08
     4      1      5      8              1139.24          9.05927E-05          3.41443E+08
     4      1      3      8              1131.21          2.43982E-04          3.41443E+08
     4      1      5      9              1168.46          1.20515E-05          3.41443E+08
     4      1      3      9              1160.81          3.44246E-05          3.41443E+08
     4      1      5     10              1195.28          1.82183E-06          3.41443E+08
     4      1      3     10              1188.17          4.18267E-07          3.41443E+08
     4      1      5     11              1218.85          1.44551E-06          3.41443E+08
     4      1      3     11              1212.51          1.98536E-06          3.41443E+08
     4      1      5     12              1238.13          8.62614E-10          3.41443E+08
     4      1      3     12              1232.86          8.25657E-08          3.41443E+08
     4      1      5     13              1251.80          2.70490E-08          3.41443E+08
     4      1      3     13              1247.99          3.19695E-08          3.41443E+08
     4      1      3     14              1256.41          1.40988E-10          3.41443E+08
     5      1      6      1               913.48          2.66261E-03          3.28529E+08
     5      1      6      2               946.39          1.29874E-04          3.28529E+08
     5      1      4      2               936.45          9.11085E-05          3.28529E+08
     5      1      6      3               979.56          2.55085E-03          3.28529E+08
     5      1      4      3               969.49          5.46225E-03          3.28529E+08
     5      1      6      4              1012.80          7.38973E-03          3.28529E+08
     5      1      4      4              1002.65          6.37837E-03          3.28529E+08
     5      1      6      5              1045.90          5.02304E-03          3.28529E+08
     5      1      4      5              1035.73          2.65018E-03          3.28529E+08
     5      1      6      6              1078.56          7.16602E-04          3.28529E+08
     5      1      4      6              1068.45          9.56395E-04          3.28529E+08
