          9         9        12      1181C   C   D    0.822591500D+05
 E STATE HAS LABEL C   
 VIBRATIONAL LEVELS FOR STATE E IN 1/CM FOR J=  8
     -17186.93257    -14988.06724    -12920.96364    -10983.69777
     -9175.19106     -7496.22782     -5948.73621     -4536.97085
     -3267.35947     -2150.10574     -1201.03769      -444.75110
 PROPORTION OF STATE C   
       81.74  0.729009E-01 0.244627E+02 0.979773E+04 0.330750E+06
       81.76  0.738631E-01 0.247842E+02 0.992588E+04 0.335093E+06
       81.79  0.748424E-01 0.251113E+02 0.100563E+05 0.339512E+06
       81.81  0.758390E-01 0.254443E+02 0.101890E+05 0.344010E+06
       81.83  0.768531E-01 0.257830E+02 0.103240E+05 0.348586E+06
       81.86  0.778856E-01 0.261280E+02 0.104614E+05 0.353245E+06
       81.89  0.789367E-01 0.264791E+02 0.106014E+05 0.357988E+06
       81.91  0.800067E-01 0.268365E+02 0.107438E+05 0.362817E+06
       81.94  0.810963E-01 0.272004E+02 0.108888E+05 0.367732E+06
       81.96  0.822054E-01 0.275709E+02 0.110364E+05 0.372736E+06
       81.99  0.833352E-01 0.279482E+02 0.111867E+05 0.377833E+06
       82.00  0.840229E-01 0.281779E+02 0.112783E+05 0.380936E+06
       82.01  0.844858E-01 0.283325E+02 0.113399E+05 0.383024E+06
       82.04  0.856577E-01 0.287239E+02 0.114958E+05 0.388311E+06
       82.06  0.868515E-01 0.291226E+02 0.116546E+05 0.393696E+06
       82.08  0.880673E-01 0.295286E+02 0.118164E+05 0.399180E+06
       82.11  0.893063E-01 0.299423E+02 0.119812E+05 0.404769E+06
       82.14  0.905688E-01 0.303639E+02 0.121491E+05 0.410463E+06
       82.16  0.918553E-01 0.307935E+02 0.123202E+05 0.416265E+06
       82.19  0.931665E-01 0.312313E+02 0.124946E+05 0.422178E+06
       82.21  0.945024E-01 0.316773E+02 0.126722E+05 0.428203E+06
       82.24  0.958645E-01 0.321321E+02 0.128533E+05 0.434346E+06
       82.26  0.972531E-01 0.325957E+02 0.130380E+05 0.440607E+06
       82.29  0.986689E-01 0.330683E+02 0.132262E+05 0.446991E+06
       82.31  0.100112E+00 0.335502E+02 0.134181E+05 0.453500E+06
       82.33  0.101584E+00 0.340415E+02 0.136137E+05 0.460135E+06
       82.36  0.103085E+00 0.345426E+02 0.138133E+05 0.466904E+06
       82.39  0.104617E+00 0.350538E+02 0.140168E+05 0.473807E+06
       82.41  0.106179E+00 0.355751E+02 0.142244E+05 0.480849E+06
       82.44  0.107772E+00 0.361070E+02 0.144361E+05 0.488032E+06
       82.46  0.109397E+00 0.366495E+02 0.146521E+05 0.495359E+06
       82.49  0.111057E+00 0.372032E+02 0.148726E+05 0.502837E+06
       82.51  0.112750E+00 0.377683E+02 0.150975E+05 0.510469E+06
       82.54  0.114478E+00 0.383450E+02 0.153271E+05 0.518258E+06
       82.56  0.116242E+00 0.389337E+02 0.155614E+05 0.526208E+06
       82.58  0.118042E+00 0.395344E+02 0.158005E+05 0.534322E+06
       82.61  0.119881E+00 0.401480E+02 0.160447E+05 0.542608E+06
       82.64  0.121758E+00 0.407745E+02 0.162941E+05 0.551069E+06
       82.66  0.123676E+00 0.414143E+02 0.165487E+05 0.559709E+06
       82.69  0.125634E+00 0.420677E+02 0.168088E+05 0.568534E+06
       82.71  0.127634E+00 0.427350E+02 0.170743E+05 0.577545E+06
       82.74  0.129678E+00 0.434169E+02 0.173457E+05 0.586754E+06
       82.76  0.131766E+00 0.441136E+02 0.176229E+05 0.596163E+06
       82.79  0.133901E+00 0.448255E+02 0.179062E+05 0.605777E+06
       82.81  0.136082E+00 0.455531E+02 0.181957E+05 0.615603E+06
       82.83  0.138311E+00 0.462966E+02 0.184915E+05 0.625643E+06
       82.86  0.140590E+00 0.470569E+02 0.187940E+05 0.635910E+06
       82.89  0.142920E+00 0.478342E+02 0.191033E+05 0.646407E+06
       82.91  0.145303E+00 0.486290E+02 0.194195E+05 0.657140E+06
       82.94  0.147740E+00 0.494419E+02 0.197429E+05 0.668117E+06
       82.96  0.150232E+00 0.502731E+02 0.200735E+05 0.679341E+06
       82.99  0.152783E+00 0.511236E+02 0.204118E+05 0.690827E+06
       83.01  0.155392E+00 0.519938E+02 0.207580E+05 0.702577E+06
       83.04  0.158062E+00 0.528842E+02 0.211121E+05 0.714602E+06
       83.06  0.160795E+00 0.537955E+02 0.214746E+05 0.726908E+06
       83.08  0.163591E+00 0.547281E+02 0.218455E+05 0.739500E+06
       83.11  0.166455E+00 0.556830E+02 0.222253E+05 0.752394E+06
       83.14  0.169388E+00 0.566607E+02 0.226141E+05 0.765597E+06
       83.16  0.172391E+00 0.576620E+02 0.230123E+05 0.779117E+06
       83.19  0.175466E+00 0.586875E+02 0.234201E+05 0.792964E+06
       83.21  0.178616E+00 0.597377E+02 0.238377E+05 0.807145E+06
       83.24  0.181844E+00 0.608139E+02 0.242656E+05 0.821677E+06
       83.26  0.185153E+00 0.619168E+02 0.247041E+05 0.836569E+06
       83.29  0.188543E+00 0.630471E+02 0.251535E+05 0.851830E+06
       83.31  0.192019E+00 0.642056E+02 0.256141E+05 0.867474E+06
       83.33  0.195581E+00 0.653931E+02 0.260862E+05 0.883507E+06
       83.36  0.199235E+00 0.666110E+02 0.265704E+05 0.899953E+06
       83.39  0.202982E+00 0.678601E+02 0.270670E+05 0.916818E+06
       83.41  0.206827E+00 0.691414E+02 0.275763E+05 0.934118E+06
       83.44  0.210770E+00 0.704559E+02 0.280988E+05 0.951866E+06
       83.46  0.214816E+00 0.718043E+02 0.286348E+05 0.970072E+06
       83.49  0.218970E+00 0.731886E+02 0.291850E+05 0.988763E+06
       83.51  0.223234E+00 0.746096E+02 0.297498E+05 0.100795E+07
       83.54  0.227612E+00 0.760684E+02 0.303296E+05 0.102765E+07
       83.56  0.232107E+00 0.775666E+02 0.309250E+05 0.104787E+07
       83.58  0.236724E+00 0.791048E+02 0.315362E+05 0.106864E+07
       83.61  0.241467E+00 0.806854E+02 0.321644E+05 0.108998E+07
       83.64  0.246342E+00 0.823095E+02 0.328097E+05 0.111191E+07
       83.66  0.251351E+00 0.839785E+02 0.334729E+05 0.113444E+07
       83.69  0.256500E+00 0.856941E+02 0.341546E+05 0.115760E+07
       83.71  0.261793E+00 0.874574E+02 0.348552E+05 0.118141E+07
       83.74  0.267237E+00 0.892711E+02 0.355758E+05 0.120590E+07
       83.76  0.272837E+00 0.911366E+02 0.363170E+05 0.123108E+07
       83.79  0.278598E+00 0.930558E+02 0.370794E+05 0.125699E+07
       83.81  0.284526E+00 0.950305E+02 0.378639E+05 0.128365E+07
       83.83  0.290625E+00 0.970623E+02 0.386710E+05 0.131108E+07
       83.86  0.296907E+00 0.991545E+02 0.395021E+05 0.133933E+07
       83.89  0.303374E+00 0.101309E+03 0.403578E+05 0.136841E+07
       83.91  0.310035E+00 0.103527E+03 0.412390E+05 0.139836E+07
       83.94  0.316897E+00 0.105813E+03 0.421468E+05 0.142922E+07
       83.96  0.323966E+00 0.108167E+03 0.430818E+05 0.146100E+07
       83.99  0.331253E+00 0.110594E+03 0.440456E+05 0.149376E+07
       84.00  0.335733E+00 0.112085E+03 0.446380E+05 0.151390E+07
       84.01  0.338766E+00 0.113095E+03 0.450391E+05 0.152753E+07
       84.04  0.346512E+00 0.115675E+03 0.460635E+05 0.156235E+07
       84.06  0.354501E+00 0.118335E+03 0.471200E+05 0.159827E+07
       84.08  0.362741E+00 0.121079E+03 0.482095E+05 0.163531E+07
       84.11  0.371245E+00 0.123911E+03 0.493339E+05 0.167353E+07
       84.14  0.380024E+00 0.126834E+03 0.504944E+05 0.171299E+07
       84.16  0.389087E+00 0.129851E+03 0.516925E+05 0.175372E+07
       84.19  0.398446E+00 0.132967E+03 0.529296E+05 0.179579E+07
       84.21  0.408110E+00 0.136185E+03 0.542070E+05 0.183922E+07
       84.24  0.418098E+00 0.139510E+03 0.555271E+05 0.188411E+07
       84.26  0.428421E+00 0.142946E+03 0.568913E+05 0.193050E+07
       84.29  0.439093E+00 0.146499E+03 0.583015E+05 0.197845E+07
       84.31  0.450128E+00 0.150172E+03 0.597596E+05 0.202803E+07
       84.33  0.461538E+00 0.153970E+03 0.612671E+05 0.207930E+07
       84.36  0.473346E+00 0.157901E+03 0.628272E+05 0.213235E+07
       84.39  0.485567E+00 0.161968E+03 0.644416E+05 0.218726E+07
       84.41  0.498217E+00 0.166178E+03 0.661126E+05 0.224409E+07
       84.44  0.511316E+00 0.170538E+03 0.678428E+05 0.230294E+07
       84.46  0.524880E+00 0.175052E+03 0.696341E+05 0.236387E+07
       84.49  0.538936E+00 0.179730E+03 0.714905E+05 0.242701E+07
       84.51  0.553504E+00 0.184578E+03 0.734142E+05 0.249244E+07
       84.54  0.568605E+00 0.189603E+03 0.754082E+05 0.256027E+07
       84.56  0.584264E+00 0.194813E+03 0.774757E+05 0.263060E+07
       84.58  0.600501E+00 0.200216E+03 0.796193E+05 0.270353E+07
       84.61  0.617353E+00 0.205823E+03 0.818439E+05 0.277921E+07
       84.64  0.634842E+00 0.211642E+03 0.841525E+05 0.285774E+07
       84.66  0.652997E+00 0.217682E+03 0.865488E+05 0.293927E+07
       84.69  0.671850E+00 0.223955E+03 0.890370E+05 0.302393E+07
       84.71  0.691426E+00 0.230467E+03 0.916204E+05 0.311183E+07
       84.74  0.711771E+00 0.237235E+03 0.943052E+05 0.320318E+07
       84.76  0.732916E+00 0.244269E+03 0.970952E+05 0.329811E+07
       84.79  0.754896E+00 0.251581E+03 0.999952E+05 0.339680E+07
       84.81  0.777752E+00 0.259183E+03 0.103011E+06 0.349940E+07
       84.83  0.801517E+00 0.267088E+03 0.106146E+06 0.360609E+07
       84.86  0.826248E+00 0.275314E+03 0.109408E+06 0.371711E+07
       84.89  0.851984E+00 0.283873E+03 0.112802E+06 0.383263E+07
       84.91  0.878771E+00 0.292782E+03 0.116335E+06 0.395286E+07
       84.94  0.906658E+00 0.302056E+03 0.120012E+06 0.407803E+07
       84.96  0.935688E+00 0.311710E+03 0.123840E+06 0.420832E+07
       84.99  0.965933E+00 0.321768E+03 0.127828E+06 0.434405E+07
       85.01  0.997438E+00 0.332244E+03 0.131982E+06 0.448543E+07
       85.04  0.103026E+01 0.343158E+03 0.136309E+06 0.463273E+07
       85.06  0.106447E+01 0.354531E+03 0.140818E+06 0.478621E+07
       85.08  0.110010E+01 0.366379E+03 0.145514E+06 0.494610E+07
       85.11  0.113725E+01 0.378730E+03 0.150410E+06 0.511278E+07
       85.14  0.117597E+01 0.391603E+03 0.155513E+06 0.528651E+07
       85.16  0.121633E+01 0.405021E+03 0.160832E+06 0.546758E+07
       85.19  0.125840E+01 0.419006E+03 0.166375E+06 0.565631E+07
       85.21  0.130224E+01 0.433578E+03 0.172150E+06 0.585296E+07
       85.24  0.134794E+01 0.448769E+03 0.178170E+06 0.605795E+07
