# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ac [1/s] 			 mean Ekin [eV]
   11     5     1.1211468546E+05     4.8474174713E+07     9.2408295901E-01
   11     6     1.1353879704E+05     1.7417844348E+08     9.3173043980E-01
   11     7     1.1492744773E+05     1.5457952214E+08     7.0208317185E-01
   11     8     1.1607729953E+05     2.5813981434E+08     3.1874339245E-01
   11     9     1.1707236481E+05     6.5524338131E+08     1.8571187212E-01
   11    10     1.1788219215E+05     8.0949754964E+08     1.9086968292E-01
   12     0     1.0346526344E+05     6.4717665967E+06     4.0580019283E-01
   12     1     1.0552331003E+05     1.7181357257E+08     5.4705025082E-01
   12     2     1.0751580243E+05     3.5871475313E+07     6.7603023674E-01
   12     3     1.0932749844E+05     2.6335559006E+07     7.8139576934E-01
   12     4     1.1100054627E+05     7.0086384669E+07     8.8105047378E-01
   12     5     1.1262021125E+05     1.5981581386E+08     8.9309566497E-01
   12     6     1.1401320818E+05     7.5042730292E+07     7.1638033645E-01
   12     7     1.1527981324E+05     2.0967361615E+08     2.9664152290E-01
   12     8     1.1639432667E+05     6.8523108319E+08     1.7575578328E-01
   12     9     1.1733602466E+05     7.1795786926E+08     3.0041013035E-01
   12    10     1.1814529300E+05     8.5586325807E+08     1.9582345367E-01
   13     0     1.0412539314E+05     4.5101781439E+07     4.6283181792E-01
   13     1     1.0617047842E+05     1.2793594410E+07     5.9637722329E-01
   13     2     1.0808178385E+05     2.1854854477E+07     7.1742260863E-01
   13     3     1.0983826642E+05     1.5199149434E+08     8.2009998089E-01
   13     4     1.1154783499E+05     6.0214745499E+07     8.9495761666E-01
   13     5     1.1305480827E+05     4.5648545080E+07     8.1923613949E-01
   13     6     1.1442234718E+05     1.0754837932E+08     7.3715797960E-01
   13     7     1.1573444650E+05     3.2922902490E+08     6.8436559660E-01
   13     8     1.1678436609E+05     6.4736917866E+08     2.2497204312E-01
   13     9     1.1767811633E+05     8.1176058866E+08     1.9443446972E-01
   14     0     1.0479735492E+05     3.6835883974E+06     5.0901939848E-01
   14     1     1.0680375301E+05     2.3010047568E+07     6.4324797787E-01
   14     2     1.0871661815E+05     1.1496930346E+08     7.6203530979E-01
   14     3     1.1044780145E+05     2.6949777776E+07     8.6568669093E-01
   14     4     1.1205409543E+05     4.0732398145E+07     9.2267897610E-01
   14     5     1.1349880940E+05     2.1178198921E+08     9.3565377460E-01
   14     6     1.1491041467E+05     1.1796902903E+08     6.3514056725E-01
   14     7     1.1609298079E+05     4.3419168380E+08     1.7668956565E-01
   14     8     1.1711721699E+05     7.5332017074E+08     1.9735750569E-01
   14     9     1.1794383635E+05     7.3171492387E+08     3.2483141171E-01
   15     0     1.0549467151E+05     5.9927087697E+07     5.6418784769E-01
   15     1     1.0748110276E+05     1.8477017601E+07     6.9058148234E-01
