# Data for C+ states 
#  J 	 v 		 E(v,J) [1/cm] 			 Ab [1/s] 			 Ac [1/s] 			 At [1/s] 			 f of dissociation 		 mean Ekin [eV]
    8     0     1.0122131874E+05     1.1588680322E+09     3.8672593108E+06     1.1627352916E+09     3.3260014888E-03     2.4989191423E-01
    8     1     1.0342029073E+05     1.1250855239E+09     1.3350118763E+07     1.1384356427E+09     1.1726722410E-02     3.9585275963E-01
    8     2     1.0546848719E+05     9.7095100360E+08     1.0331597595E+08     1.0742669795E+09     9.6173463314E-02     5.4408048107E-01
    8     3     1.0745081586E+05     1.0081593607E+09     6.7692634295E+07     1.0758519950E+09     6.2920024882E-02     6.7145103312E-01
    8     4     1.0924376804E+05     1.0455467084E+09     2.9042140156E+07     1.0745888486E+09     2.7026280977E-02     7.7052068489E-01
    8     5     1.1090925411E+05     1.0084231649E+09     3.9037753552E+07     1.0474609184E+09     3.7268935637E-02     8.5243912206E-01
    8     6     1.1242863655E+05     8.1768089040E+08     1.2892516309E+08     9.4660605349E+08     1.3619727299E-01     9.4168379313E-01
    8     7     1.1390167688E+05     8.2389213140E+08     1.3626056758E+08     9.6015269898E+08     1.4191551795E-01     8.1394993788E-01
    8     8     1.1514937233E+05     8.7899727120E+08     1.3202200420E+08     1.0110192754E+09     1.3058307335E-01     4.5392521089E-01
    8     9     1.1625513424E+05     6.8566919830E+08     3.3691963963E+08     1.0225888379E+09     3.2947713405E-01     2.1598842619E-01
    8    10     1.1719607601E+05     3.8695966490E+08     6.4685648027E+08     1.0338161452E+09     6.2569779287E-01     1.6975742612E-01
    8    11     1.1794397273E+05     2.5185484200E+08     7.9955624346E+08     1.0514110855E+09     7.6046016113E-01     1.6365958598E-01
    9     0     1.0172006459E+05     1.1502121106E+09     6.3279218681E+06     1.1565400325E+09     5.4714248450E-03     3.0226043616E-01
    9     1     1.0387280453E+05     9.4254123140E+08     1.4597829154E+08     1.0885195229E+09     1.3410718730E-01     4.2803833469E-01
    9     2     1.0595614530E+05     1.0632835741E+09     4.3209327653E+07     1.1064929018E+09     3.9050704785E-02     5.7153333594E-01
    9     3     1.0785816520E+05     1.0668707160E+09     2.4397975192E+07     1.0912686912E+09     2.2357440829E-02     6.9647698554E-01
    9     4     1.0962773994E+05     1.0133583010E+09     4.3215398631E+07     1.0565736996E+09     4.0901452163E-02     7.9672122417E-01
    9     5     1.1123900713E+05     7.1106194272E+08     1.9725743969E+08     9.0831938241E+08     2.1716748922E-01     8.8363465846E-01
    9     6     1.1283006691E+05     9.2970832538E+08     7.7768009453E+07     1.0074763348E+09     7.7190904406E-02     8.7671257289E-01
    9     7     1.1419550138E+05     9.4048159150E+08     8.0799996830E+07     1.0212815883E+09     7.9116276797E-02     5.6042401529E-01
    9     8     1.1542206569E+05     8.4503909000E+08     1.6309252933E+08     1.0081316193E+09     1.6177702019E-01     3.8076943990E-01
    9     9     1.1649441759E+05     5.1000788292E+08     4.7330840044E+08     9.8331628337E+08     4.8133892263E-01     2.3368082270E-01
    9    10     1.1739585237E+05     2.0447624103E+08     7.5096135358E+08     9.5543759461E+08     7.8598681674E-01     2.2520002693E-01
    9    11     1.1814622410E+05     1.3311244827E+08     8.1217282547E+08     9.4528527374E+08     8.5918277586E-01     2.1213190322E-01
   10     0     1.0228804776E+05     9.3797835980E+08     1.8930385344E+08     1.1272822132E+09     1.6792942461E-01     3.2787826021E-01
   10     1     1.0442069002E+05     1.1111752617E+09     1.9688355637E+07     1.1308636174E+09     1.7410017738E-02     4.7292696652E-01
   10     2     1.0643043599E+05     1.0897268760E+09     1.8591689055E+07     1.1083185651E+09     1.6774679809E-02     6.0487816755E-01
   10     3     1.0830113876E+05     1.0144479577E+09     5.1117375971E+07     1.0655653337E+09     4.7972071121E-02     7.2312293467E-01
   10     4     1.1011870553E+05     7.8049977580E+08     1.8199638751E+08     9.6249616331E+08     1.8908790959E-01     8.3052643998E-01
   10     5     1.1170656547E+05     9.8840717160E+08     4.9142802103E+07     1.0375499737E+09     4.7364274829E-02     8.9722791299E-01
   10     6     1.1318142008E+05     9.7218574390E+08     5.4187001691E+07     1.0263727456E+09     5.2794661514E-02     7.5759091771E-01
   10     7     1.1451526478E+05     8.4606002866E+08     1.2898679289E+08     9.7504682155E+08     1.3228779382E-01     6.5320138625E-01
   10     8     1.1568990099E+05     5.3180800800E+08     3.0714550020E+08     8.3895350820E+08     3.6610550787E-01     6.8940766142E-01
   10     9     1.1681300632E+05     2.8707666445E+08     6.5073276590E+08     9.3780943035E+08     6.9388592697E-01     2.6116392208E-01
   10    10     1.1766318188E+05     2.0125033570E+08     8.0511246820E+08     1.0063628039E+09     8.0002208456E-01     1.9296418663E-01
   10    11     1.1829556881E+05     1.1779085810E+08     9.2335745717E+08     1.0411483153E+09     8.8686447803E-01     1.4121353212E-01
   11     0     1.0285001263E+05     1.1421195601E+09     5.4792724600E+06     1.1475988326E+09     4.7745538812E-03     3.7160321974E-01
   11     1     1.0496489125E+05     1.1125108585E+09     1.2189505634E+07     1.1247003641E+09     1.0838002746E-02     5.1858382444E-01
   11     2     1.0693351670E+05     9.9772641755E+08     7.2033002265E+07     1.0697594198E+09     6.7335702711E-02     6.4448214860E-01
   11     3     1.0883260915E+05     9.5697061900E+08     9.0010028869E+07     1.0469806479E+09     8.5971053096E-02     7.5880410384E-01
   11     4     1.1053731019E+05     1.0245679904E+09     3.4475405102E+07     1.0590433955E+09     3.2553345074E-02     8.5600729519E-01
   11     5     1.1211468546E+05     9.7918630460E+08     4.8474174713E+07     1.0276604793E+09     4.7169445248E-02     9.2408295901E-01
   11     6     1.1353879704E+05     7.2299659190E+08     1.7417844348E+08     8.9717503538E+08     1.9414098321E-01     9.3173043980E-01
   11     7     1.1492744773E+05     8.0654787670E+08     1.5457952214E+08     9.6112739884E+08     1.6083145931E-01     7.0208317185E-01
   11     8     1.1607729953E+05     7.4644146900E+08     2.5813981434E+08     1.0045812833E+09     2.5696259588E-01     3.1874339245E-01
   11     9     1.1707236481E+05     3.6225577024E+08     6.5524338131E+08     1.0174991516E+09     6.4397437611E-01     1.8571187212E-01
   11    10     1.1788219215E+05     2.1317635820E+08     8.0949754964E+08     1.0226739078E+09     7.9155001749E-01     1.9086968292E-01
   12     0     1.0346526344E+05     1.1332496033E+09     6.4717665967E+06     1.1397213699E+09     5.6783761082E-03     4.0580019283E-01
   12     1     1.0552331003E+05     8.7609399600E+08     1.7181357257E+08     1.0479075686E+09     1.6395870945E-01     5.4705025082E-01
   12     2     1.0751580243E+05     1.0568199669E+09     3.5871475313E+07     1.0926914422E+09     3.2828549698E-02     6.7603023674E-01
   12     3     1.0932749844E+05     1.0491988563E+09     2.6335559006E+07     1.0755344153E+09     2.4486021675E-02     7.8139576934E-01
   12     4     1.1100054627E+05     9.4902788200E+08     7.0086384669E+07     1.0191142667E+09     6.8771860979E-02     8.8105047378E-01
   12     5     1.1262021125E+05     7.8465853667E+08     1.5981581386E+08     9.4447435053E+08     1.6921138597E-01     8.9309566497E-01
   12     6     1.1401320818E+05     9.3977634900E+08     7.5042730292E+07     1.0148190793E+09     7.3946905240E-02     7.1638033645E-01
   12     7     1.1527981324E+05     7.9994561300E+08     2.0967361615E+08     1.0096192291E+09     2.0767593375E-01     2.9664152290E-01
   12     8     1.1639432667E+05     2.9210767700E+08     6.8523108319E+08     9.7733876019E+08     7.0111931615E-01     1.7575578328E-01
   12     9     1.1733602466E+05     1.7394039665E+08     7.1795786926E+08     8.9189826591E+08     8.0497731267E-01     3.0041013035E-01
   12    10     1.1814529300E+05     1.5232869970E+08     8.5586325807E+08     1.0081919578E+09     8.4890903114E-01     1.9582345367E-01
   13     0     1.0412539314E+05     1.0812153439E+09     4.5101781439E+07     1.1263171253E+09     4.0043590234E-02     4.6283181792E-01
   13     1     1.0617047842E+05     1.1018223239E+09     1.2793594410E+07     1.1146159183E+09     1.1478029516E-02     5.9637722329E-01
   13     2     1.0808178385E+05     1.0668727972E+09     2.1854854477E+07     1.0887276517E+09     2.0073757145E-02     7.1742260863E-01
   13     3     1.0983826642E+05     8.2096732000E+08     1.5199149434E+08     9.7295881434E+08     1.5621575354E-01     8.2009998089E-01
   13     4     1.1154783499E+05     9.7260755670E+08     6.0214745499E+07     1.0328223022E+09     5.8301166978E-02     8.9495761666E-01
   13     5     1.1305480827E+05     9.8628448500E+08     4.5648545080E+07     1.0319330301E+09     4.4235956937E-02     8.1923613949E-01
   13     6     1.1442234718E+05     8.7233035300E+08     1.0754837932E+08     9.7987873232E+08     1.0975682579E-01     7.3715797960E-01
   13     7     1.1573444650E+05     5.1613465440E+08     3.2922902490E+08     8.4536367930E+08     3.8945253145E-01     6.8436559660E-01
   13     8     1.1678436609E+05     3.3130893800E+08     6.4736917866E+08     9.7867811666E+08     6.6147302943E-01     2.2497204312E-01
   13     9     1.1767811633E+05     2.1035502410E+08     8.1176058866E+08     1.0221156128E+09     7.9419644757E-01     1.9443446972E-01
   14     0     1.0479735492E+05     1.1242726735E+09     3.6835883974E+06     1.1279562619E+09     3.2657191790E-03     5.0901939848E-01
   14     1     1.0680375301E+05     1.0756417625E+09     2.3010047568E+07     1.0986518101E+09     2.0943894469E-02     6.4324797787E-01
   14     2     1.0871661815E+05     9.1788294680E+08     1.1496930346E+08     1.0328522503E+09     1.1131243935E-01     7.6203530979E-01
   14     3     1.1044780145E+05     1.0381945170E+09     2.6949777776E+07     1.0651442948E+09     2.5301527604E-02     8.6568669093E-01
   14     4     1.1205409543E+05     9.9077671500E+08     4.0732398145E+07     1.0315091131E+09     3.9488161206E-02     9.2267897610E-01
   14     5     1.1349880940E+05     6.5331991066E+08     2.1178198921E+08     8.6510189987E+08     2.4480583067E-01     9.3565377460E-01
   14     6     1.1491041467E+05     7.7403797200E+08     1.1796902903E+08     8.9200700103E+08     1.3225123670E-01     6.3514056725E-01
   14     7     1.1609298079E+05     3.3992658582E+08     4.3419168380E+08     7.7411826962E+08     5.6088546265E-01     1.7668956565E-01
   14     8     1.1711721699E+05     2.3315425760E+08     7.5332017074E+08     9.8647442834E+08     7.6364895946E-01     1.9735750569E-01
   14     9     1.1794383635E+05     1.3358414861E+08     7.3171492387E+08     8.6529907248E+08     8.4562083462E-01     3.2483141171E-01
   15     0     1.0549467151E+05     1.0359295020E+09     5.9927087697E+07     1.0958565897E+09     5.4685155211E-02     5.6418784769E-01
   15     1     1.0748110276E+05     1.0806818620E+09     1.8477017601E+07     1.0991588796E+09     1.6810142686E-02     6.9058148234E-01
   15     2     1.0931785443E+05     1.0649608982E+09     1.6035946446E+07     1.0809968447E+09     1.4834406340E-02     7.9976828547E-01
   15     3     1.1101234077E+05     9.3838135309E+08     7.5532419841E+07     1.0139137729E+09     7.4495900793E-02     8.9517929417E-01
   15     4     1.1263163801E+05     9.2677115030E+08     8.0338006030E+07     1.0071091563E+09     7.9770902215E-02     9.2092947823E-01
   15     5     1.1405829716E+05     9.7477046400E+08     5.2336884649E+07     1.0271073486E+09     5.0955613080E-02     7.1392346538E-01
   15     6     1.1534568895E+05     8.3291293030E+08     1.5500318278E+08     9.8791611308E+08     1.5689913418E-01     4.9366639875E-01
   15     7     1.1750675885E+05     2.2536644500E+08     7.7212794958E+08     9.9749439458E+08     7.7406745720E-01     2.2522180978E-01
   15     8     1.1827085862E+05     1.5310068340E+08     8.4829049582E+08     1.0013911792E+09     8.4711201119E-01     2.1619525325E-01
   16     0     1.0623088665E+05     1.1106467368E+09     3.1266134856E+06     1.1137733503E+09     2.8072259806E-03     6.1767334316E-01
   16     1     1.0815935984E+05     1.0776442049E+09     1.3014094115E+07     1.0906582990E+09     1.1932329426E-02     7.4029043204E-01
   16     2     1.0999405140E+05     8.1140779530E+08     1.6516241986E+08     9.7657021516E+08     1.6912498179E-01     8.4814902399E-01
   16     3     1.1164094441E+05     1.0286146350E+09     2.5068893822E+07     1.0536835288E+09     2.3791672866E-02     9.0616868626E-01
   16     4     1.1316768637E+05     9.8774900600E+08     3.9266087458E+07     1.0270150935E+09     3.8233213619E-02     9.0871405431E-01
