# Data for C- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
    13      0     13      8              1394.51          4.21912E+01          1.23100E-08          1.13073E+09
    13      0     13      9              1428.15          5.38836E+00          1.64900E-09          1.13073E+09
    13      0     13     10              1456.10          2.44350E-01          7.77100E-11          1.13073E+09
    14      0     14      0              1064.45          1.41458E+08          2.40400E-02          1.12412E+09
    14      0     14      1              1106.85          3.75119E+08          6.89300E-02          1.12412E+09
    14      0     14      2              1149.76          3.78648E+08          7.50800E-02          1.12412E+09
    14      0     14      3              1192.92          1.82431E+08          3.89400E-02          1.12412E+09
    14      0     14      4              1235.95          4.23535E+07          9.70500E-03          1.12412E+09
    14      0     14      5              1278.37          4.02605E+06          9.86900E-04          1.12412E+09
    14      0     14      6              1319.55          7.92810E+04          2.07100E-05          1.12412E+09
    14      0     14      7              1358.70          6.59657E+02          1.82700E-07          1.12412E+09
    14      0     14      8              1394.76          2.41575E+01          7.04900E-09          1.12412E+09
    14      0     14      9              1426.38          6.69727E+00          2.04400E-09          1.12412E+09
    14      0     14     10              1451.68          6.02205E-01          1.90400E-10          1.12412E+09
    15      0     15      0              1071.51          1.39565E+08          2.40400E-02          1.11728E+09
    15      0     15      1              1113.58          3.72904E+08          6.93600E-02          1.11728E+09
    15      0     15      2              1156.07          3.78013E+08          7.57800E-02          1.11728E+09
    15      0     15      3              1198.67          1.81622E+08          3.91400E-02          1.11728E+09
    15      0     15      4              1241.00          4.14059E+07          9.56500E-03          1.11728E+09
    15      0     15      5              1282.53          3.71075E+06          9.15600E-04          1.11728E+09
    15      0     15      6              1322.60          5.64803E+04          1.48200E-05          1.11728E+09
    15      0     15      7              1360.35          1.14753E+03          3.18500E-07          1.11728E+09
    15      0     15      8              1394.65          6.90218E+00          2.01400E-09          1.11728E+09
    15      0     15      9              1424.01          7.00537E+00          2.13100E-09          1.11728E+09
    16      0     16      0              1078.85          1.37622E+08          2.40300E-02          1.11026E+09
    16      0     16      1              1120.56          3.70726E+08          6.98300E-02          1.11026E+09
    16      0     16      2              1162.57          3.77471E+08          7.65300E-02          1.11026E+09
    16      0     16      3              1204.58          1.80713E+08          3.93300E-02          1.11026E+09
    16      0     16      4              1246.13          4.03201E+07          9.39200E-03          1.11026E+09
    16      0     16      5              1286.69          3.36544E+06          8.35800E-04          1.11026E+09
    16      0     16      6              1325.53          3.58301E+04          9.44300E-06          1.11026E+09
    16      0     16      7              1361.74          1.69516E+03          4.71500E-07          1.11026E+09
    16      0     16      8              1394.08          2.41758E-01          7.04800E-11          1.11026E+09
    16      0     16      9              1420.88          5.34221E+00          1.61800E-09          1.11026E+09
    17      0     17      0              1086.44          1.35650E+08          2.40200E-02          1.10308E+09
    17      0     17      1              1127.75          3.68635E+08          7.03300E-02          1.10308E+09
    17      0     17      2              1169.26          3.77046E+08          7.73200E-02          1.10308E+09
    17      0     17      3              1210.59          1.79673E+08          3.95000E-02          1.10308E+09
    17      0     17      4              1251.30          3.90696E+07          9.17600E-03          1.10308E+09
    17      0     17      5              1290.79          2.98968E+06          7.47200E-04          1.10308E+09
    17      0     17      6              1328.30          1.85927E+04          4.92100E-06          1.10308E+09
    17      0     17      7              1362.80          2.19322E+03          6.11000E-07          1.10308E+09
    17      0     17      8              1392.96          2.02413E+01          5.89100E-09          1.10308E+09
    18      0     18      0              1094.27          1.33672E+08          2.40100E-02          1.09580E+09
    18      0     18      1              1135.15          3.66685E+08          7.08700E-02          1.09580E+09
    18      0     18      2              1176.08          3.76763E+08          7.81700E-02          1.09580E+09
    18      0     18      3              1216.69          1.78461E+08          3.96300E-02          1.09580E+09
    18      0     18      4              1256.48          3.76233E+07          8.91000E-03          1.09580E+09
    18      0     18      5              1294.80          2.58453E+06          6.50000E-04          1.09580E+09
    18      0     18      6              1330.83          6.23696E+03          1.65700E-06          1.09580E+09
    18      0     18      7              1363.46          2.48040E+03          6.91700E-07          1.09580E+09
    18      0     18      8              1391.14          8.60519E+01          2.49800E-08          1.09580E+09
    19      0     19      0              1102.31          1.31712E+08          2.40100E-02          1.08843E+09
    19      0     19      1              1142.71          3.64938E+08          7.14800E-02          1.08843E+09
    19      0     19      2              1183.02          3.76651E+08          7.90700E-02          1.08843E+09
    19      0     19      3              1222.83          1.77026E+08          3.97100E-02          1.08843E+09
    19      0     19      4              1261.61          3.59450E+07          8.58200E-03          1.08843E+09
    19      0     19      5              1298.66          2.15357E+06          5.44800E-04          1.08843E+09
    19      0     19      6              1333.07          3.12441E+02          8.32800E-08          1.08843E+09
    19      0     19      7              1363.60          2.36561E+03          6.59800E-07          1.08843E+09
    20      0     20      0              1110.55          1.29796E+08          2.40100E-02          1.08101E+09
    20      0     20      1              1150.42          3.63468E+08          7.21600E-02          1.08101E+09
    20      0     20      2              1190.05          3.76742E+08          8.00300E-02          1.08101E+09
    20      0     20      3              1228.99          1.75302E+08          3.97200E-02          1.08101E+09
    20      0     20      4              1266.67          3.39931E+07          8.18100E-03          1.08101E+09
    20      0     20      5              1302.32          1.70417E+06          4.33600E-04          1.08101E+09
    20      0     20      6              1334.93          2.14324E+03          5.72900E-07          1.08101E+09
    20      0     20      7              1363.10          1.71440E+03          4.77800E-07          1.08101E+09
    21      0     21      0              1118.95          1.27953E+08          2.40300E-02          1.07357E+09
    21      0     21      1              1158.24          3.62357E+08          7.29200E-02          1.07357E+09
    21      0     21      2              1197.13          3.77071E+08          8.10600E-02          1.07357E+09
    21      0     21      3              1235.13          1.73207E+08          3.96400E-02          1.07357E+09
    21      0     21      4              1271.60          3.17203E+07          7.69400E-03          1.07357E+09
    21      0     21      5              1305.71          1.24948E+06          3.19500E-04          1.07357E+09
    21      0     21      6              1336.33          1.22020E+04          3.26800E-06          1.07357E+09
    22      0     22      0              1127.49          1.26216E+08          2.40700E-02          1.06615E+09
    22      0     22      1              1166.16          3.61705E+08          7.37800E-02          1.06615E+09
    22      0     22      2              1204.24          3.77680E+08          8.21600E-02          1.06615E+09
    22      0     22      3              1241.21          1.70631E+08          3.94300E-02          1.06615E+09
    22      0     22      4              1276.36          2.90749E+07          7.10500E-03          1.06615E+09
    22      0     22      5              1308.77          8.11064E+05          2.08400E-04          1.06615E+09
    22      0     22      6              1337.12          2.89752E+04          7.77100E-06          1.06615E+09
    23      0     23      0              1136.17          1.24618E+08          2.41300E-02          1.05872E+09
