# Data for C+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     5      0      4      9              1423.79          4.51254E+04          1.67700E-05          1.17178E+09
     5      0      6     10              1477.48          1.76842E+05          4.90000E-05          1.17178E+09
     5      0      4     10              1464.57          3.61317E+05          1.42100E-04          1.17178E+09
     5      0      6     11              1512.56          5.36863E+05          1.55900E-04          1.17178E+09
     5      0      4     11              1501.02          3.22560E+05          1.33200E-04          1.17178E+09
     5      0      6     12              1541.02          2.07638E+04          6.25800E-06          1.17178E+09
     5      0      4     12              1531.46          1.01884E+04          4.38100E-06          1.17178E+09
     5      0      6     13              1560.49          6.18949E+05          1.91300E-04          1.17178E+09
     5      0      4     13              1553.81          5.94844E+04          2.63300E-05          1.17178E+09
     6      0      7      0              1029.35          4.13923E+06          5.70100E-04          1.15783E+09
     6      0      5      0              1014.24          1.43133E+08          2.61000E-02          1.15783E+09
     6      0      7      1              1073.55          1.20398E+08          1.80400E-02          1.15783E+09
     6      0      5      1              1057.95          1.28496E+08          2.55000E-02          1.15783E+09
     6      0      7      2              1118.81          2.26971E+08          3.69300E-02          1.15783E+09
     6      0      5      2              1102.75          3.47000E+07          7.48000E-03          1.15783E+09
     6      0      7      3              1164.94          5.56590E+07          9.81900E-03          1.15783E+09
     6      0      5      3              1148.49          3.24263E+07          7.58200E-03          1.15783E+09
     6      0      7      4              1211.71          1.38858E+06          2.65000E-04          1.15783E+09
     6      0      5      4              1194.93          6.22763E+07          1.57600E-02          1.15783E+09
     6      0      7      5              1258.79          1.56435E+05          3.22200E-05          1.15783E+09
     6      0      5      5              1241.78          1.18345E+07          3.23500E-03          1.15783E+09
     6      0      7      6              1305.73          2.03298E+07          4.50600E-03          1.15783E+09
     6      0      5      6              1288.65          1.15709E+07          3.40600E-03          1.15783E+09
     6      0      7      7              1351.97          9.46098E+03          2.24800E-06          1.15783E+09
     6      0      5      7              1335.00          2.49949E+06          7.89700E-04          1.15783E+09
     6      0      7      8              1396.78          1.75151E+07          4.44200E-03          1.15783E+09
     6      0      5      8              1380.17          1.48887E+07          5.02800E-03          1.15783E+09
     6      0      7      9              1439.21          2.09802E+06          5.64900E-04          1.15783E+09
     6      0      5      9              1423.30          1.35980E+05          4.88300E-05          1.15783E+09
     6      0      7     10              1478.09          9.40028E+06          2.67000E-03          1.15783E+09
     6      0      5     10              1463.29          1.41343E+07          5.36500E-03          1.15783E+09
     6      0      7     11              1511.89          1.31899E+07          3.91900E-03          1.15783E+09
     6      0      5     11              1498.78          4.89952E+06          1.95100E-03          1.15783E+09
     6      0      7     12              1538.70          9.26857E+03          2.85300E-06          1.15783E+09
     6      0      5     12              1528.04          2.41534E+06          9.99700E-04          1.15783E+09
     6      0      7     13              1555.94          1.62317E+07          5.10900E-03          1.15783E+09
     6      0      5     13              1548.91          1.42992E+06          6.08100E-04          1.15783E+09
     7      0      8      0              1033.95          1.22861E+08          1.73800E-02          1.16768E+09
     7      0      6      0              1016.74          3.54667E+07          6.34600E-03          1.16768E+09
     7      0      8      1              1078.04          2.40960E+08          3.70600E-02          1.16768E+09
     7      0      6      1              1060.29          1.35996E+08          2.64600E-02          1.16768E+09
     7      0      8      2              1123.14          1.74562E+08          2.91400E-02          1.16768E+09
     7      0      6      2              1104.88          1.96666E+08          4.15500E-02          1.16768E+09
     7      0      8      3              1169.05          7.27090E+07          1.31500E-02          1.16768E+09
     7      0      6      3              1150.36          1.19331E+08          2.73300E-02          1.16768E+09
     7      0      8      4              1215.52          2.46703E+07          4.82400E-03          1.16768E+09
     7      0      6      4              1196.49          2.49068E+07          6.17100E-03          1.16768E+09
     7      0      8      5              1262.21          3.98392E+06          8.40100E-04          1.16768E+09
     7      0      6      5              1242.95          1.43149E+06          3.82800E-04          1.16768E+09
     7      0      8      6              1308.65          1.78423E+05          4.04400E-05          1.16768E+09
     7      0      6      6              1289.35          7.23560E+05          2.08200E-04          1.16768E+09
     7      0      8      7              1354.27          2.13968E+05          5.19400E-05          1.16768E+09
     7      0      6      7              1335.13          5.70189E+05          1.75900E-04          1.16768E+09
     7      0      8      8              1398.28          6.05301E+05          1.56600E-04          1.16768E+09
     7      0      6      8              1379.62          2.85957E+05          9.42000E-05          1.16768E+09
     7      0      8      9              1439.73          1.11584E+04          3.06100E-06          1.16768E+09
     7      0      6      9              1421.93          2.36673E+05          8.28200E-05          1.16768E+09
     7      0      8     10              1477.36          5.94528E+05          1.71700E-04          1.16768E+09
     7      0      6     10              1460.93          5.45104E+05          2.01400E-04          1.16768E+09
     7      0      8     11              1509.61          3.20594E+05          9.67000E-05          1.16768E+09
     7      0      6     11              1495.22          1.52779E+04          5.91200E-06          1.16768E+09
     7      0      8     12              1534.44          8.57484E+04          2.67200E-05          1.16768E+09
     7      0      6     12              1523.02          3.24616E+05          1.30300E-04          1.16768E+09
     7      0      6     13              1542.04          5.95114E+04          2.44900E-05          1.16768E+09
     8      0      9      0              1039.29          1.11180E+08          1.61200E-02          1.16274E+09
     8      0      7      0              1020.06          4.39097E+07          7.76700E-03          1.16274E+09
     8      0      9      1              1083.27          2.47730E+08          3.90200E-02          1.16274E+09
     8      0      7      1              1063.45          1.36232E+08          2.61900E-02          1.16274E+09
     8      0      9      2              1128.20          1.95412E+08          3.33800E-02          1.16274E+09
     8      0      7      2              1107.84          1.77692E+08          3.70700E-02          1.16274E+09
     8      0      9      3              1173.88          7.46080E+07          1.38000E-02          1.16274E+09
     8      0      7      3              1153.06          1.14283E+08          2.58300E-02          1.16274E+09
     8      0      9      4              1220.03          1.92821E+07          3.85200E-03          1.16274E+09
     8      0      7      4              1198.86          3.08007E+07          7.52600E-03          1.16274E+09
     8      0      9      5              1266.30          3.65585E+06          7.86800E-04          1.16274E+09
     8      0      7      5              1244.92          2.10997E+06          5.55900E-04          1.16274E+09
     8      0      9      6              1312.20          5.69266E+03          1.31600E-06          1.16274E+09
     8      0      7      6              1290.81          1.32384E+05          3.75000E-05          1.16274E+09
     8      0      9      7              1357.12          2.47562E+05          6.11900E-05          1.16274E+09
     8      0      7      7              1335.99          3.36715E+05          1.02200E-04          1.16274E+09
     8      0      9      8              1400.26          1.02783E+05          2.70500E-05          1.16274E+09
     8      0      7      8              1379.72          3.82459E+03          1.23800E-06          1.16274E+09
     8      0      9      9              1440.60          9.22339E+04          2.56900E-05          1.16274E+09
     8      0      7      9              1421.12          2.33488E+05          8.01600E-05          1.16274E+09
     8      0      9     10              1476.84          2.43234E+05          7.12000E-05          1.16274E+09
     8      0      7     10              1459.00          1.09802E+05          3.97300E-05          1.16274E+09
     8      0      9     11              1507.32          4.64512E+04          1.41600E-05          1.16274E+09
