# Data for D- transitions (Q) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     6      1      6     10              1191.55          3.19312E+00          6.80000E-10          3.52099E+08
     6      1      6     11              1214.26          1.66033E-01          3.67200E-11          3.52099E+08
     6      1      6     12              1232.53          1.32041E-01          3.00900E-11          3.52099E+08
     6      1      6     13              1244.95          9.45792E+00          2.19900E-09          3.52099E+08
     7      1      7      0               881.65          6.38789E+07          7.44800E-03          3.51507E+08
     7      1      7      1               913.88          5.91627E+07          7.41200E-03          3.51507E+08
     7      1      7      2               946.47          1.23257E+05          1.65600E-05          3.51507E+08
     7      1      7      3               979.28          5.60108E+07          8.05700E-03          3.51507E+08
     7      1      7      4              1012.12          1.01857E+08          1.56500E-02          3.51507E+08
     7      1      7      5              1044.76          5.68531E+07          9.30800E-03          3.51507E+08
     7      1      7      6              1076.89          1.26457E+07          2.20000E-03          3.51507E+08
     7      1      7      7              1108.15          9.67983E+05          1.78300E-04          3.51507E+08
     7      1      7      8              1138.07          7.30846E+03          1.42000E-06          3.51507E+08
     7      1      7      9              1166.09          6.49031E+02          1.32400E-07          3.51507E+08
     7      1      7     10              1191.47          4.60074E+00          9.79700E-10          3.51507E+08
     7      1      7     11              1213.34          5.11267E-01          1.12900E-10          3.51507E+08
     7      1      7     12              1230.55          5.08499E-02          1.15500E-11          3.51507E+08
     7      1      7     13              1241.55          9.57151E+00          2.21300E-09          3.51507E+08
     8      1      8      0               885.18          6.33169E+07          7.44200E-03          3.50877E+08
     8      1      8      1               917.30          5.91252E+07          7.46200E-03          3.50877E+08
     8      1      8      2               949.74          1.36822E+05          1.85100E-05          3.50877E+08
     8      1      8      3               982.37          5.60307E+07          8.11100E-03          3.50877E+08
     8      1      8      4              1014.98          1.02195E+08          1.57900E-02          3.50877E+08
     8      1      8      5              1047.32          5.67665E+07          9.34000E-03          3.50877E+08
     8      1      8      6              1079.10          1.24027E+07          2.16600E-03          3.50877E+08
     8      1      8      7              1109.93          8.97197E+05          1.65800E-04          3.50877E+08
     8      1      8      8              1139.32          4.79247E+03          9.33100E-07          3.50877E+08
     8      1      8      9              1166.69          7.09802E+02          1.44900E-07          3.50877E+08
     8      1      8     10              1191.28          5.70302E+00          1.21400E-09          3.50877E+08
     8      1      8     11              1212.16          2.29215E+00          5.05200E-10          3.50877E+08
     8      1      8     12              1228.11          1.69203E-01          3.82800E-11          3.50877E+08
     9      1      9      0               889.08          6.27398E+07          7.43900E-03          3.50220E+08
     9      1      9      1               921.07          5.90194E+07          7.51000E-03          3.50220E+08
     9      1      9      2               953.35          1.56597E+05          2.13500E-05          3.50220E+08
     9      1      9      3               985.76          5.60824E+07          8.17500E-03          3.50220E+08
     9      1      9      4              1018.10          1.02666E+08          1.59600E-02          3.50220E+08
     9      1      9      5              1050.12          5.66023E+07          9.36300E-03          3.50220E+08
     9      1      9      6              1081.49          1.21255E+07          2.12700E-03          3.50220E+08
     9      1      9      7              1111.82          8.24509E+05          1.52900E-04          3.50220E+08
     9      1      9      8              1140.61          2.18987E+03          4.27400E-07          3.50220E+08
