C+	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cp1	X3	R23	1211.04465	-0.1197	2.05E-2	1.04E+9
Cp1	X5	P3	1211.40231	-0.0881	8.20E-3	1.16E+9
Cp1	X5	R7	1211.75555	-0.0882	2.64E-2	1.14E+9
Cp1	X3	P20	1213.20519	-0.1220	3.76E-2	1.07E+9
Cp1	X2	P25	1213.90820	-0.1286	6.17E-3	1.04E+9
Cp1	X5	P4	1213.98818	-0.0901	8.81E-3	1.16E+9
Cp1	X4	P14	1214.57712	-0.1105	3.10E-2	1.11E+9
Cp1	X5	R8	1214.62279	-0.0837	2.75E-2	1.09E+9
Cp1	X4	R18	1216.31520	-0.1116	4.31E-2	1.07E+9
Cp1	X5	P5	1216.99495	-0.0916	7.79E-3	1.15E+9
Cp1	X5	R9	1217.00195	-0.0924	2.16E-2	1.13E+9
Cp1	X3	R24	1217.40053	-0.1219	2.34E-2	1.03E+9
Cp1	X5	P6	1219.81947	-0.0801	1.46E-2	1.12E+9
Cp1	X3	P21	1220.22153	-0.1253	4.29E-2	9.99E+8
Cp1	X5	R10	1220.28538	-0.0958	2.52E-2	1.12E+9
Cp1	X4	P15	1220.51128	-0.1141	3.06E-2	1.10E+9
Cp1	X2	P26	1221.46726	-0.1307	6.87E-3	1.03E+9
Cp1	X4	R19	1221.86754	-0.1148	3.80E-2	9.99E+8
Cp1	X5	P7	1223.75601	-0.0972	1.28E-2	1.15E+9
Cp1	X5	R11	1224.12784	-0.0925	2.88E-2	1.05E+9
Cp1	X4	P16	1226.22639	-0.1176	3.35E-2	1.10E+9
Cp1	X3	P22	1226.86764	-0.1278	4.31E-2	1.06E+9
Cp1	X4	R20	1227.10256	-0.1172	4.47E-2	1.06E+9
Cp1	X5	R12	1227.32155	-0.1014	2.18E-2	1.11E+9
Cp1	X5	P8	1227.74743	-0.1013	1.15E-2	1.15E+9
Cp1	X5	R13	1231.33110	-0.1043	2.65E-2	1.10E+9
Cp1	X5	P9	1232.00234	-0.1045	9.88E-3	1.14E+9
Cp1	X4	P17	1232.28683	-0.1213	3.25E-2	1.09E+9
Cp1	X4	R21	1232.41557	-0.1195	4.39E-2	1.05E+9
Cp1	X3	P23	1233.54150	-0.1300	4.35E-2	1.05E+9
Cp1	X5	R14	1235.19405	-0.1071	1.88E-2	1.10E+9
Cp1	X4	R22	1237.81629	-0.1235	4.30E-2	9.37E+8
Cp1	X4	P18	1238.11992	-0.1242	3.65E-2	1.09E+9
Cp1	X5	R15	1239.48188	-0.1103	2.43E-2	1.09E+9
Cp1	X3	P24	1240.25801	-0.1340	4.13E-2	9.37E+8
Cp1	X5	P11	1240.87070	-0.1106	1.44E-2	1.13E+9
Cp1	X4	R23	1242.79346	-0.1223	4.82E-2	1.04E+9
Cp1	X5	R16	1243.61143	-0.1128	1.83E-2	1.09E+9
Cp1	X4	P19	1244.13806	-0.1271	3.32E-2	1.08E+9
Cp1	X5	P12	1245.75400	-0.1146	1.14E-2	1.12E+9
Cp1	X3	P25	1246.50858	-0.1326	5.11E-2	1.04E+9
Cp1	X4	R24	1247.67017	-0.1225	4.84E-2	1.03E+9
Cp1	X5	R17	1247.99645	-0.1154	2.35E-2	1.08E+9
Cp1	X4	P20	1249.90687	-0.1294	3.80E-2	1.07E+9
Cp1	X6	R1	1250.23222	-0.0956	6.81E-3	1.16E+9
Cp1	X6	R3	1250.45243	-0.0946	6.69E-3	1.15E+9
Cp1	X5	P13	1251.05754	-0.1115	1.98E-3	1.05E+9
Cp1	X6	R5	1251.95712	-0.0960	2.45E-3	1.15E+9
Cp1	X5	R18	1252.19577	-0.1175	1.96E-2	1.07E+9
Cp1	X3	P26	1252.62224	-0.1326	5.44E-2	1.03E+9
Cp1	X6	R7	1255.19428	-0.0997	4.03E-3	1.14E+9
Cp1	X5	P14	1255.51675	-0.1208	1.41E-2	1.11E+9
Cp1	X4	P21	1255.80652	-0.1314	2.20E-2	9.99E+8
Cp1	X5	R19	1256.58760	-0.1194	2.33E-2	9.99E+8
Cp1	X6	R8	1257.57180	-0.0945	6.10E-3	1.09E+9
Cp1	X6	R9	1259.33997	-0.1029	2.43E-3	1.13E+9
Cp1	X5	R20	1260.53058	-0.1204	1.98E-2	1.06E+9
Cp1	X5	P15	1260.66011	-0.1236	1.00E-2	1.10E+9
Cp1	X4	P22	1261.20069	-0.1325	3.75E-2	1.06E+9
Cp1	X5	R21	1264.42901	-0.1209	1.82E-2	1.05E+9
Cp1	X6	P6	1264.47167	-0.0919	5.66E-3	1.12E+9
Cp1	X6	R11	1265.15081	-0.1014	3.30E-3	1.05E+9
Cp1	X5	P16	1265.47872	-0.1261	1.48E-2	1.10E+9
Cp1	X4	P23	1266.49686	-0.1330	3.98E-2	1.05E+9
Cp1	X6	P7	1268.07512	-0.1092	3.60E-3	1.15E+9
Cp1	X5	R22	1268.27230	-0.1230	1.48E-2	9.37E+8
Cp1	X5	P17	1270.56985	-0.1288	1.13E-2	1.09E+9
Cp1	X6	R13	1270.69001	-0.1119	2.62E-3	1.10E+9
Cp1	X5	R23	1271.49462	-0.1192	1.64E-2	1.04E+9
Cp1	X4	P24	1271.68966	-0.1349	1.79E-2	9.37E+8
Cp1	X5	P18	1275.31814	-0.1305	1.32E-2	1.09E+9
Cp1	X6	P9	1275.40910	-0.1155	2.75E-3	1.14E+9
Cp1	X4	P25	1276.21491	-0.1309	3.53E-2	1.04E+9
Cp1	X6	R15	1276.86703	-0.1160	2.35E-3	1.09E+9
Cp1	X5	P19	1280.15396	-0.1322	1.05E-2	1.08E+9
Cp1	X6	R17	1283.02024	-0.1187	1.87E-3	1.08E+9
Cp1	X6	P11	1283.04284	-0.1203	2.70E-3	1.13E+9
Cp1	X5	P20	1284.60644	-0.1330	1.05E-2	1.07E+9
Cp1	X5	P21	1289.06310	-0.1332	7.73E-3	9.99E+8
Cp1	X6	P13	1291.70846	-0.1195	3.37E-3	1.05E+9
Cp1	X5	P22	1292.83300	-0.1322	7.70E-3	1.06E+9
Cp1	X6	R21	1293.11450	-0.1166	1.80E-3	1.05E+9
Cp1	X5	P23	1296.31642	-0.1301	5.56E-3	1.05E+9
Cp1	X6	P15	1299.35367	-0.1298	2.39E-3	1.10E+9
Cp1	X8	P13	1366.79047	-0.1235	2.46E-3	1.05E+9
Cp2	X3	P13	1140.66001	-0.0829	3.60E-3	1.09E+9
Cp2	X4	R7	1140.78195	-0.0593	1.50E-3	1.07E+9
Cp2	X1	P23	1141.91647	-0.1100	8.89E-4	1.04E+9
Cp2	X2	R21	1142.19316	-0.1025	3.31E-3	1.04E+9
Cp2	X4	P5	1142.95957	-0.0598	5.57E-3	1.11E+9
Cp2	X3	R16	1143.32435	-0.0881	1.10E-2	1.07E+9
Cp2	X2	P19	1144.51062	-0.1009	1.53E-2	1.03E+9
Cp2	X4	P6	1146.61709	-0.0676	6.84E-3	1.13E+9
Cp2	X3	P14	1147.27548	-0.0887	5.85E-3	1.09E+9
Cp2	X3	R17	1149.53216	-0.0924	1.64E-2	1.03E+9
Cp2	X2	R22	1149.99833	-0.1075	3.43E-3	1.04E+9
Cp2	X4	P7	1150.61554	-0.0718	7.79E-3	1.13E+9
Cp2	X2	P20	1152.68660	-0.1065	2.00E-2	1.05E+9
Cp2	X3	P15	1153.51256	-0.0903	1.41E-3	1.03E+9
Cp2	X4	P8	1155.00835	-0.0754	8.76E-3	1.12E+9
Cp2	X3	R18	1156.29779	-0.0978	1.03E-2	1.05E+9
Cp2	X2	R23	1157.94474	-0.1127	3.66E-3	1.03E+9
Cp2	X4	P9	1159.93805	-0.0752	9.02E-3	1.07E+9
Cp2	X3	P16	1160.67781	-0.0986	4.93E-3	1.08E+9
Cp2	X2	P21	1160.68897	-0.1113	1.86E-2	1.05E+9
Cp2	X3	R19	1162.93831	-0.1024	1.35E-2	1.05E+9
Cp2	X4	P10	1164.39683	-0.0818	8.57E-3	1.11E+9
Cp2	X2	R24	1165.89678	-0.1228	3.67E-3	9.09E+8
Cp2	X3	P17	1167.22845	-0.0999	8.38E-4	9.79E+8
Cp2	X2	P22	1169.11373	-0.1176	1.76E-2	8.88E+8
Cp2	X4	P11	1169.83021	-0.0878	1.09E-2	1.11E+9
Cp2	X5	R1	1174.30500	-0.0687	5.63E-2	1.13E+9
Cp2	X5	R0	1174.58110	-0.0694	1.25E-1	1.14E+9
Cp2	X5	R2	1174.59655	-0.0649	2.95E-2	1.11E+9
Cp2	X3	P18	1174.73444	-0.1080	4.54E-3	1.07E+9
Cp2	X5	R3	1174.87245	-0.0640	4.99E-2	1.11E+9
Cp2	X4	P12	1175.59061	-0.0903	1.30E-2	1.07E+9
Cp2	X5	R4	1176.09098	-0.0699	4.27E-2	1.13E+9
Cp2	X3	R21	1176.73448	-0.1113	1.16E-2	1.04E+9
Cp2	X2	P23	1177.07149	-0.1202	2.02E-2	1.04E+9
Cp2	X5	R5	1177.69374	-0.0722	3.73E-2	1.13E+9
Cp2	X5	P2	1178.29596	-0.0727	1.48E-2	1.14E+9
Cp2	X5	R6	1179.74813	-0.0740	3.17E-2	1.12E+9
Cp2	X5	P3	1180.46391	-0.0742	2.28E-2	1.13E+9
Cp2	X4	P13	1180.90299	-0.0956	9.92E-3	1.09E+9
Cp2	X3	P19	1181.73328	-0.1119	2.43E-3	1.03E+9
Cp2	X5	R7	1182.41058	-0.0721	1.69E-2	1.07E+9
Cp2	X5	P4	1183.15289	-0.0724	3.00E-2	1.11E+9
Cp2	X3	R22	1183.66223	-0.1153	1.29E-2	1.04E+9
Cp2	X5	R8	1184.64222	-0.0773	3.83E-2	1.11E+9
Cp2	X2	P24	1185.23201	-0.1242	1.92E-2	1.04E+9
Cp2	X5	P5	1185.75250	-0.0735	1.45E-2	1.11E+9
Cp2	X4	R17	1186.17808	-0.1019	9.24E-4	1.03E+9
Cp2	X4	P14	1187.02015	-0.1009	1.37E-2	1.09E+9
Cp2	X5	R9	1187.94752	-0.0819	3.25E-2	1.11E+9
Cp2	X3	P20	1189.18800	-0.1167	4.23E-3	1.05E+9
Cp2	X5	P6	1189.22131	-0.0813	2.42E-2	1.13E+9
Cp2	X3	R23	1190.64707	-0.1193	1.36E-2	1.03E+9
Cp2	X5	R10	1191.65608	-0.0832	2.08E-2	1.07E+9
Cp2	X4	P15	1192.65787	-0.1017	5.96E-3	1.03E+9
Cp2	X5	P7	1192.97827	-0.0852	2.88E-2	1.13E+9
Cp2	X2	P25	1193.41486	-0.1281	1.77E-2	1.03E+9
Cp2	X5	R11	1194.97499	-0.0875	3.73E-2	1.09E+9
Cp2	X3	P21	1196.37549	-0.1205	3.32E-3	1.05E+9
Cp2	X5	P8	1197.08062	-0.0885	3.27E-2	1.12E+9
Cp2	X3	R24	1197.53494	-0.1282	1.34E-2	9.09E+8
Cp2	X4	R19	1197.95775	-0.1102	1.07E-3	1.05E+9
Cp2	X5	R12	1199.18993	-0.0920	3.11E-2	1.09E+9
Cp2	X4	P16	1199.21137	-0.1094	1.45E-2	1.08E+9
Cp2	X2	P26	1201.46982	-0.1369	8.73E-3	9.09E+8
Cp2	X5	P9	1201.68083	-0.0877	3.63E-2	1.07E+9
Cp2	X5	R13	1202.98740	-0.0920	3.85E-2	1.03E+9
Cp2	X3	P22	1203.92300	-0.1258	2.98E-3	8.88E+8
Cp2	X4	P17	1205.02989	-0.1099	4.10E-3	9.79E+8
Cp2	X5	P10	1205.69712	-0.0939	2.57E-2	1.11E+9
Cp2	X5	R14	1207.78687	-0.0991	3.48E-2	1.08E+9
Cp2	X4	R21	1209.79391	-0.1169	1.44E-3	1.04E+9
Cp2	X5	P11	1210.67955	-0.0995	3.32E-2	1.11E+9
Cp2	X3	P23	1210.87886	-0.1272	2.77E-3	1.04E+9
Cp2	X4	P18	1211.78417	-0.1172	1.66E-2	1.07E+9
Cp2	X5	R15	1211.90927	-0.0991	3.55E-2	9.79E+8
Cp2	X5	P12	1215.93178	-0.1013	3.63E-2	1.07E+9
Cp2	X5	R16	1217.04405	-0.1060	3.72E-2	1.07E+9
Cp2	X6	R1	1217.30562	-0.0811	6.11E-2	1.13E+9
Cp2	X6	R2	1217.44918	-0.0770	4.37E-2	1.11E+9
Cp2	X6	R3	1217.49180	-0.0759	3.99E-2	1.11E+9
Cp2	X6	R0	1217.68736	-0.0819	1.20E-1	1.14E+9
Cp2	X4	P19	1217.91142	-0.1201	1.07E-2	1.03E+9
Cp2	X6	R4	1218.46300	-0.0817	4.37E-2	1.13E+9
Cp2	X6	R5	1219.76316	-0.0837	4.34E-2	1.13E+9
Cp2	X5	P13	1220.62385	-0.1060	3.08E-2	1.09E+9
Cp2	X4	R23	1221.32185	-0.1218	4.51E-3	1.03E+9
Cp2	X6	R6	1221.46468	-0.0852	4.29E-2	1.12E+9
Cp2	X5	R17	1221.60862	-0.1086	4.00E-2	1.03E+9
Cp2	X6	P3	1223.49733	-0.0865	1.44E-2	1.13E+9
Cp2	X6	R7	1223.73502	-0.0828	3.74E-2	1.07E+9
Cp2	X4	P20	1224.42983	-0.1238	2.09E-2	1.05E+9
Cp2	X3	P25	1224.90953	-0.1320	1.59E-3	1.03E+9
Cp2	X6	R8	1225.46153	-0.0875	3.75E-2	1.11E+9
Cp2	X6	P4	1226.04457	-0.0844	1.30E-2	1.11E+9
Cp2	X5	P14	1226.09325	-0.1106	3.68E-2	1.09E+9
Cp2	X5	R18	1226.62629	-0.1121	3.95E-2	1.05E+9
Cp2	X4	R24	1226.81288	-0.1289	8.57E-3	9.09E+8
Cp2	X6	R9	1228.25466	-0.0918	4.16E-2	1.11E+9
Cp2	X6	P5	1228.41006	-0.0852	1.79E-2	1.11E+9
Cp2	X4	P21	1230.56376	-0.1264	1.97E-2	1.05E+9
Cp2	X5	P15	1230.96637	-0.1106	2.64E-2	1.03E+9
Cp2	X5	R19	1231.31374	-0.1146	4.34E-2	1.05E+9
Cp2	X6	R10	1231.39526	-0.0924	4.15E-2	1.07E+9
Cp2	X6	P6	1231.62255	-0.0928	1.95E-2	1.13E+9
Cp2	X6	R11	1234.03611	-0.0961	3.58E-2	1.09E+9
