C-	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
Cm2	X5	Q4	1180.10715	-0.0748	6.77E-2	1.13E+9
Cm2	X3	Q20	1180.20806	-0.1119	1.65E-2	1.05E+9
Cm2	X5	Q5	1182.42123	-0.0770	6.84E-2	1.13E+9
Cm2	X4	Q15	1185.04021	-0.1008	1.27E-2	1.08E+9
Cm2	X5	Q6	1185.14381	-0.0796	6.92E-2	1.13E+9
Cm2	X3	Q21	1187.24395	-0.1159	1.60E-2	1.05E+9
Cm2	X5	Q7	1188.24539	-0.0824	7.01E-2	1.12E+9
Cm2	X4	Q16	1190.87847	-0.1048	1.36E-2	1.08E+9
Cm2	X5	Q8	1191.69524	-0.0855	7.12E-2	1.12E+9
Cm2	X3	Q22	1194.29765	-0.1195	1.54E-2	1.04E+9
Cm2	X5	Q9	1195.47166	-0.0888	7.24E-2	1.12E+9
Cm2	X4	Q17	1196.81628	-0.1087	1.47E-2	1.07E+9
Cm2	X5	Q10	1199.53296	-0.0922	7.37E-2	1.11E+9
Cm2	X4	Q18	1202.83031	-0.1124	1.61E-2	1.07E+9
Cm2	X5	Q11	1203.83910	-0.0957	7.53E-2	1.11E+9
Cm2	X5	Q12	1208.36305	-0.0993	7.70E-2	1.10E+9
Cm2	X4	Q19	1208.87107	-0.1158	1.79E-2	1.06E+9
Cm2	X5	Q13	1213.06623	-0.1028	7.90E-2	1.10E+9
Cm2	X4	Q20	1214.91189	-0.1189	2.02E-2	1.05E+9
Cm2	X5	Q14	1217.91161	-0.1063	8.11E-2	1.09E+9
Cm2	X6	Q1	1218.94683	-0.0831	5.84E-2	1.14E+9
Cm2	X6	Q2	1219.81070	-0.0839	5.84E-2	1.14E+9
Cm2	X4	Q21	1220.90498	-0.1216	2.31E-2	1.05E+9
Cm2	X6	Q3	1221.09230	-0.0852	5.84E-2	1.14E+9
Cm2	X6	Q4	1222.77431	-0.0868	5.85E-2	1.13E+9
Cm2	X5	Q15	1222.85315	-0.1096	8.36E-2	1.08E+9
Cm2	X6	Q5	1224.83516	-0.0888	5.86E-2	1.13E+9
Cm2	X4	Q22	1226.80785	-0.1238	2.70E-2	1.04E+9
Cm2	X6	Q6	1227.24964	-0.0910	5.87E-2	1.13E+9
Cm2	X5	Q16	1227.86627	-0.1127	8.64E-2	1.08E+9
Cm2	X6	Q7	1229.98587	-0.0935	5.88E-2	1.12E+9
Cm2	X5	Q17	1232.89484	-0.1156	8.94E-2	1.07E+9
Cm2	X6	Q8	1233.01053	-0.0961	5.88E-2	1.12E+9
Cm2	X6	Q9	1236.29978	-0.0989	5.88E-2	1.12E+9
Cm2	X5	Q18	1237.90823	-0.1182	9.29E-2	1.07E+9
Cm2	X6	Q10	1239.80811	-0.1018	5.88E-2	1.11E+9
Cm2	X5	Q19	1242.84619	-0.1204	9.68E-2	1.06E+9
Cm2	X6	Q11	1243.49148	-0.1047	5.87E-2	1.11E+9
Cm2	X6	Q12	1247.31930	-0.1075	5.86E-2	1.10E+9
Cm2	X5	Q20	1247.67015	-0.1220	1.01E-1	1.05E+9
Cm2	X6	Q13	1251.24803	-0.1103	5.83E-2	1.10E+9
Cm2	X5	Q21	1252.31558	-0.1231	1.06E-1	1.05E+9
Cm2	X6	Q14	1255.23507	-0.1128	5.78E-2	1.09E+9
Cm2	X5	Q22	1256.71800	-0.1233	1.11E-1	1.04E+9
Cm2	X6	Q15	1259.22721	-0.1152	5.71E-2	1.08E+9
Cm2	X7	Q1	1261.64207	-0.0931	1.53E-2	1.14E+9
Cm2	X7	Q2	1262.38022	-0.0938	1.52E-2	1.14E+9
Cm2	X6	Q16	1263.19269	-0.1172	5.60E-2	1.08E+9
Cm2	X7	Q3	1263.47212	-0.0949	1.50E-2	1.14E+9
Cm2	X7	Q4	1264.89910	-0.0963	1.48E-2	1.13E+9
Cm2	X7	Q5	1266.63784	-0.0979	1.45E-2	1.13E+9
Cm2	X6	Q17	1267.06454	-0.1189	5.45E-2	1.07E+9
Cm2	X7	Q6	1268.66102	-0.0997	1.42E-2	1.13E+9
Cm2	X6	Q18	1270.80017	-0.1200	5.24E-2	1.07E+9
Cm2	X7	Q7	1270.93400	-0.1018	1.38E-2	1.12E+9
Cm2	X7	Q8	1273.42043	-0.1039	1.33E-2	1.12E+9
Cm2	X6	Q19	1274.32214	-0.1205	4.95E-2	1.06E+9
Cm2	X7	Q9	1276.09370	-0.1061	1.28E-2	1.12E+9
Cm2	X6	Q20	1277.57026	-0.1202	4.56E-2	1.05E+9
Cm2	X7	Q10	1278.90368	-0.1083	1.21E-2	1.11E+9
Cm2	X6	Q21	1280.44797	-0.1188	4.04E-2	1.05E+9
Cm2	X7	Q11	1281.80131	-0.1104	1.14E-2	1.11E+9
Cm2	X6	Q22	1282.84267	-0.1160	3.36E-2	1.04E+9
Cm2	X7	Q12	1284.75105	-0.1124	1.06E-2	1.10E+9
Cm2	X7	Q13	1287.70264	-0.1142	9.60E-3	1.10E+9
Cm2	X7	Q14	1290.60547	-0.1157	8.52E-3	1.09E+9
Cm2	X7	Q15	1293.39595	-0.1168	7.33E-3	1.08E+9
Cm2	X7	Q16	1296.03058	-0.1174	6.02E-3	1.08E+9
Cm2	X7	Q17	1298.42503	-0.1174	4.63E-3	1.07E+9
Cm2	X7	Q19	1302.19055	-0.1148	1.84E-3	1.06E+9
Cm3	X4	Q12	1144.16814	-0.0807	2.96E-2	1.09E+9
Cm3	X4	Q13	1149.72135	-0.0854	2.98E-2	1.08E+9
Cm3	X4	Q14	1155.50985	-0.0901	3.00E-2	1.08E+9
Cm3	X4	Q15	1161.49835	-0.0947	3.01E-2	1.07E+9
Cm3	X4	Q16	1167.66050	-0.0993	3.03E-2	1.07E+9
Cm3	X4	Q17	1173.96080	-0.1039	3.04E-2	1.06E+9
Cm3	X4	Q18	1180.36632	-0.1082	3.04E-2	1.06E+9
Cm3	X4	Q19	1186.84144	-0.1124	3.03E-2	1.05E+9
Cm3	X6	Q1	1189.36811	-0.0713	4.51E-2	1.12E+9
Cm3	X6	Q2	1190.27611	-0.0722	4.54E-2	1.12E+9
Cm3	X6	Q3	1191.62425	-0.0736	4.60E-2	1.12E+9
Cm3	X4	Q20	1193.36752	-0.1164	3.02E-2	1.05E+9
Cm3	X6	Q4	1193.39638	-0.0754	4.67E-2	1.12E+9
Cm3	X6	Q5	1195.57143	-0.0775	4.76E-2	1.11E+9
Cm3	X6	Q6	1198.12421	-0.0800	4.86E-2	1.11E+9
Cm3	X4	Q21	1199.85805	-0.1200	2.98E-2	1.04E+9
Cm3	X6	Q7	1201.02573	-0.0828	5.00E-2	1.11E+9
Cm3	X6	Q8	1204.24770	-0.0858	5.15E-2	1.10E+9
