(0) Wavelength, (1) Transition probability, (2) Wavenumber Observed, (3) Wavenumber Calculated, (4) Oscillator strength, (5) Upper state energy, (6) statistical weight, (7) elec_state_label, (8) j, (9) elec_refl, (10) s, (11) v, (12) kronig_parity, (13) lambda_field, (14) elec_inv, (15) Lower state energy, (16) statistical weight, (17) elec_state_label, (18) j, (19) v, (20) kronig_parity
   1537.66,8.12818e+03,,    65033.98, 4.036e-06,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,34426.22,  5,  X,  2, 12,  e
   1566.99,1.14463e+05,,    63816.73, 3.279e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,35643.47,  9,  X,  4, 13,  e
   1562.08,2.45073e+04,,    64017.21, 1.256e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,35442.99,  5,  X,  2, 13,  e
   1576.37,1.06622e+05,,    63437.07, 5.564e-05,  99460.20,  7,  C,  3,  +,  0,  0,  e,  1,  u,36023.13,  5,  X,  2, 14,  e
   1020.80,8.48507e+07,,    97962.75, 1.085e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,1740.19, 33,  X,  5,  0,  e
   1010.13,7.01733e+07,,    98997.42, 1.381e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,705.52, 21,  X,  3,  0,  e
   1065.09,2.13190e+08,,    93889.02, 2.968e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,5813.92, 33,  X,  5,  1,  e
   1054.06,1.78994e+08,,    94871.55, 3.835e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,4831.39, 21,  X,  3,  1,  e
   1110.51,1.91363e+08,,    90048.74, 2.896e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,9654.20, 33,  X,  5,  2,  e
   1099.14,1.90940e+08,,    90980.24, 4.449e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,8722.70, 21,  X,  3,  2,  e
   1156.90,7.63613e+07,,    86437.67, 1.254e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,13265.27, 33,  X,  5,  3,  e
   1145.23,1.10394e+08,,    87318.86, 2.792e-02,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,12384.08, 21,  X,  3,  3,  e
   1204.04,1.60595e+07,,    83053.47, 2.857e-03,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,16649.47, 33,  X,  5,  4,  e
   1192.11,3.31373e+07,,    83884.65, 9.082e-03,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,15818.29, 21,  X,  3,  4,  e
   1251.63,3.05318e+06,,    79895.94, 5.870e-04,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,19807.00, 33,  X,  5,  5,  e
   1239.51,3.21380e+06,,    80676.94, 9.523e-04,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,19026.00, 21,  X,  3,  5,  e
   1299.25,4.41276e+05,,    76967.35, 9.142e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,22735.59, 33,  X,  5,  6,  e
   1287.04,4.48159e+03,,    77697.39, 1.432e-06,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,22005.55, 21,  X,  3,  6,  e
   1346.39,7.38897e+04,,    74272.88, 1.644e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,25430.06, 33,  X,  5,  7,  e
   1334.21,4.69531e+04,,    74950.48, 1.612e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,24752.46, 21,  X,  3,  7,  e
   1392.35,1.01188e+05,,    71821.27, 2.407e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,27881.67, 33,  X,  5,  8,  e
   1380.38,1.24232e+05,,    72444.03, 4.565e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,27258.91, 21,  X,  3,  8,  e
   1436.25,1.33240e+05,,    69625.77, 3.373e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,30077.17, 33,  X,  5,  9,  e
   1424.70,6.11961e+04,,    70190.08, 2.396e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,29512.86, 21,  X,  3,  9,  e
   1476.99,1.91744e+04,,    67705.49, 5.134e-06,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,31997.45, 33,  X,  5, 10,  e
   1466.15,5.98245e+04,,    68206.04, 2.480e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,31496.90, 21,  X,  3, 10,  e
   1513.15,1.78131e+05,,    66087.41, 5.005e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,33615.53, 33,  X,  5, 11,  e
   1503.39,1.36186e+05,,    66516.46, 5.936e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,33186.48, 21,  X,  3, 11,  e
   1542.98,2.55954e+04,,    64809.73, 7.479e-06,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,34893.21, 33,  X,  5, 12,  e
   1534.79,2.09349e+03,,    65155.61, 9.510e-07,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,34547.33, 21,  X,  3, 12,  e
   1564.26,2.09921e+05,,    63928.06, 6.304e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,35774.88, 33,  X,  5, 13,  e
   1558.32,3.01147e+04,,    64171.71, 1.410e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,35531.23, 21,  X,  3, 13,  e
   1571.46,1.80418e+05,,    63635.11, 8.593e-05,  99702.94, 27,  C,  4,  +,  0,  0,  e,  1,  u,36067.83, 21,  X,  3, 14,  e
   1024.73,7.89016e+07,,    97586.62, 1.052e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,2414.90, 13,  X,  6,  0,  e
   1011.81,7.44100e+07,,    98832.72, 1.397e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,1168.80,  9,  X,  4,  0,  e
   1068.98,2.19953e+08,,    93547.13, 3.190e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,6454.39, 13,  X,  6,  1,  e
   1055.63,1.70336e+08,,    94730.14, 3.480e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,5271.38,  9,  X,  4,  1,  e
   1114.33,2.08451e+08,,    89740.39, 3.285e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,10261.13, 13,  X,  6,  2,  e
   1100.57,1.70038e+08,,    90861.62, 3.776e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,9139.90,  9,  X,  4,  2,  e
   1160.60,7.78456e+07,,    86162.41, 1.331e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,13839.11, 13,  X,  6,  3,  e
   1146.49,1.03950e+08,,    87222.70, 2.505e-02, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,12778.82,  9,  X,  4,  3,  e
   1207.57,1.25906e+07,,    82811.13, 2.330e-03, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,17190.39, 13,  X,  6,  4,  e
   1193.16,3.75079e+07,,    83810.82, 9.790e-03, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,16190.70,  9,  X,  4,  4,  e
   1254.91,2.73519e+06,,    79686.69, 5.467e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,20314.83, 13,  X,  6,  5,  e
   1240.30,3.89816e+06,,    80625.49, 1.099e-03, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,19376.03,  9,  X,  4,  5,  e
   1302.22,1.12656e+06,,    76791.76, 2.425e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,23209.76, 13,  X,  6,  6,  e
   1287.52,9.68262e+04,,    77668.66, 2.943e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,22332.86,  9,  X,  4,  6,  e
   1348.94,6.87187e+04,,    74132.01, 1.587e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,25869.51, 13,  X,  6,  7,  e
   1334.31,4.13829e+03,,    74945.11, 1.351e-06, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,25056.41,  9,  X,  4,  7,  e
   1394.37,5.00604e+05,,    71716.82, 1.235e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,28284.70, 13,  X,  6,  8,  e
   1380.01,5.32782e+05,,    72463.07, 1.860e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,27538.45,  9,  X,  4,  8,  e
   1437.60,2.37795e+05,,    69560.31, 6.238e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,30441.21, 13,  X,  6,  9,  e
   1423.79,4.51254e+04,,    70235.10, 1.677e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,29766.42,  9,  X,  4,  9,  e
   1477.48,1.76842e+05,,    67682.77, 4.900e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,32318.75, 13,  X,  6, 10,  e
   1464.57,3.61317e+05,,    68279.35, 1.421e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,31722.17,  9,  X,  4, 10,  e
   1512.56,5.36863e+05,,    66113.02, 1.559e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,33888.50, 13,  X,  6, 11,  e
   1501.02,3.22560e+05,,    66621.42, 1.332e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,33380.10,  9,  X,  4, 11,  e
   1541.02,2.07638e+04,,    64892.26, 6.258e-06, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,35109.26, 13,  X,  6, 12,  e
   1531.46,1.01884e+04,,    65297.23, 4.381e-06, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,34704.29,  9,  X,  4, 12,  e
   1560.49,6.18949e+05,,    64082.55, 1.913e-04, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,35918.97, 13,  X,  6, 13,  e
   1553.81,5.94844e+04,,    64358.05, 2.633e-05, 100001.52, 11,  C,  5,  +,  0,  0,  e,  1,  u,35643.47,  9,  X,  4, 13,  e
   1029.35,4.13923e+06,,    97148.98, 5.701e-04, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,3187.47, 45,  X,  7,  0,  e
   1014.24,1.43133e+08,,    98596.26, 2.610e-02, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,1740.19, 33,  X,  5,  0,  e
   1073.55,1.20398e+08,,    93148.92, 1.804e-02, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,7187.53, 45,  X,  7,  1,  e
   1057.95,1.28496e+08,,    94522.53, 2.550e-02, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,5813.92, 33,  X,  5,  1,  e
   1118.81,2.26971e+08,,    89380.83, 3.693e-02, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,10955.62, 45,  X,  7,  2,  e
   1102.75,3.47000e+07,,    90682.25, 7.480e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,9654.20, 33,  X,  5,  2,  e
   1164.94,5.56590e+07,,    85841.01, 9.819e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,14495.44, 45,  X,  7,  3,  e
   1148.49,3.24263e+07,,    87071.18, 7.582e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,13265.27, 33,  X,  5,  3,  e
   1211.71,1.38858e+06,,    82527.74, 2.650e-04, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,17808.71, 45,  X,  7,  4,  e
   1194.93,6.22763e+07,,    83686.98, 1.576e-02, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,16649.47, 33,  X,  5,  4,  e
   1258.79,1.56435e+05,,    79441.56, 3.222e-05, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,20894.89, 45,  X,  7,  5,  e
   1241.78,1.18345e+07,,    80529.45, 3.235e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,19807.00, 33,  X,  5,  5,  e
   1305.73,2.03298e+07,,    76585.60, 4.506e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,23750.85, 45,  X,  7,  6,  e
   1288.65,1.15709e+07,,    77600.86, 3.406e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,22735.59, 33,  X,  5,  6,  e
   1351.97,9.46098e+03,,    73966.15, 2.248e-06, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,26370.30, 45,  X,  7,  7,  e
   1335.00,2.49949e+06,,    74906.39, 7.897e-04, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,25430.06, 33,  X,  5,  7,  e
   1396.78,1.75151e+07,,    71593.36, 4.442e-03, 100336.45, 39,  C,  6,  +,  0,  0,  e,  1,  u,28743.09, 45,  X,  7,  8,  e
