B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B3	X5	R4	1330.27997	-0.0909	1.62E-2	1.36E+9
B3	X5	P3	1331.11196	-0.0911	7.87E-3	1.62E+9
B3	X1	P22	1332.35238	-0.1599	2.75E-2	7.26E+8
B3	X1	R23	1332.55960	-0.1589	2.62E-2	6.45E+8
B3	X4	R12	1334.30695	-0.1196	1.78E-2	9.37E+8
B3	X2	R20	1334.43722	-0.1512	3.53E-2	7.26E+8
B3	X5	R5	1334.48531	-0.0944	1.71E-2	1.29E+9
B3	X0	P25	1334.66437	-0.1661	7.75E-3	6.45E+8
B3	X2	P19	1335.18574	-0.1522	1.83E-2	7.74E+8
B3	X5	P4	1335.54998	-0.0948	7.97E-3	1.53E+9
B3	X4	P11	1336.13015	-0.1205	2.32E-2	1.07E+9
B3	X5	R6	1339.57996	-0.0986	1.82E-2	1.23E+9
B3	X5	P5	1340.89209	-0.0991	8.05E-3	1.44E+9
B3	X3	R17	1342.02483	-0.1426	3.89E-3	7.74E+8
B3	X4	R13	1344.85446	-0.1268	1.69E-2	9.07E+8
B3	X5	R7	1345.52792	-0.1034	1.93E-2	1.17E+9
B3	X4	P12	1346.93298	-0.1279	2.34E-2	1.02E+9
B3	X5	P6	1347.10346	-0.1040	8.16E-3	1.36E+9
B3	X1	R24	1349.12912	-0.1661	2.67E-2	6.42E+8
B3	X1	P23	1349.17940	-0.1676	2.83E-2	6.80E+8
B3	X2	R21	1349.56567	-0.1588	3.62E-2	6.80E+8
B3	X2	P20	1350.56624	-0.1602	1.92E-2	7.51E+8
B3	X5	R8	1352.28830	-0.1086	2.05E-2	1.12E+9
B3	X0	P26	1352.80486	-0.1732	8.05E-3	6.42E+8
B3	X5	P7	1354.14451	-0.1095	8.31E-3	1.29E+9
B3	X3	R18	1355.52637	-0.1502	4.44E-3	7.51E+8
B3	X4	R14	1355.97915	-0.1341	1.61E-2	8.64E+8
B3	X4	P13	1358.33192	-0.1355	2.37E-2	1.00E+9
B3	X5	R9	1359.81675	-0.1144	2.17E-2	1.07E+9
B3	X5	P8	1361.97156	-0.1154	8.50E-3	1.23E+9
B3	X2	R22	1364.99864	-0.1660	3.70E-2	7.53E+8
B3	X2	P21	1366.27899	-0.1679	2.00E-2	7.23E+8
B3	X1	P24	1366.29026	-0.1749	2.92E-2	7.53E+8
B3	X4	R15	1367.61712	-0.1414	1.54E-2	8.33E+8
B3	X5	R10	1368.06490	-0.1204	2.29E-2	1.02E+9
B3	X3	R19	1369.39683	-0.1576	4.86E-3	7.23E+8
B3	X4	P14	1370.27510	-0.1431	2.39E-2	9.37E+8
B3	X5	P9	1370.53791	-0.1218	8.74E-3	1.17E+9
B3	X5	R11	1376.98357	-0.1268	2.40E-2	1.00E+9
B3	X4	R16	1379.72668	-0.1486	1.49E-2	8.02E+8
B3	X5	P10	1379.79326	-0.1284	9.02E-3	1.12E+9
B3	X2	R23	1380.68008	-0.1727	3.76E-2	6.45E+8
B3	X6	R3	1381.62266	-0.1025	3.73E-3	1.44E+9
B3	X2	P22	1382.29484	-0.1751	2.06E-2	7.26E+8
B3	X4	P15	1382.70894	-0.1507	2.42E-2	9.07E+8
B3	X3	R20	1383.60235	-0.1646	5.09E-3	7.26E+8
B3	X1	P25	1383.63369	-0.1816	3.02E-2	6.45E+8
B3	X6	P3	1386.08563	-0.1058	5.84E-3	1.62E+9
B3	X5	R12	1386.51825	-0.1333	2.51E-2	9.37E+8
B3	X6	R5	1388.76029	-0.1084	2.40E-3	1.29E+9
B3	X5	P11	1389.68491	-0.1352	9.31E-3	1.07E+9
B3	X4	R17	1392.23932	-0.1556	1.46E-2	7.74E+8
B3	X4	P16	1395.57966	-0.1581	2.45E-2	8.64E+8
B3	X6	P5	1395.70017	-0.1134	6.80E-3	1.44E+9
B3	X2	R24	1396.52781	-0.1788	3.80E-2	6.42E+8
B3	X5	R13	1396.61199	-0.1399	2.60E-2	9.07E+8
B3	X3	R21	1398.05418	-0.1713	5.08E-3	6.80E+8
B3	X2	P23	1398.52991	-0.1819	2.09E-2	6.80E+8
B3	X5	P12	1400.15677	-0.1421	9.58E-3	1.02E+9
B3	X1	P26	1401.13237	-0.1877	3.14E-2	6.42E+8
B3	X6	P6	1401.76926	-0.1181	7.16E-3	1.36E+9
B3	X4	R18	1405.09817	-0.1624	1.46E-2	7.51E+8
B3	X5	R14	1407.20715	-0.1465	2.67E-2	8.64E+8
B3	X6	P7	1408.62117	-0.1233	7.46E-3	1.29E+9
B3	X4	P17	1408.81597	-0.1653	2.49E-2	8.33E+8
B3	X5	P13	1411.15240	-0.1491	9.80E-3	1.00E+9
B3	X3	R22	1412.68760	-0.1773	4.78E-3	7.53E+8
B3	X2	P24	1414.92420	-0.1880	2.10E-2	7.53E+8
B3	X6	P8	1416.20576	-0.1288	7.72E-3	1.23E+9
B3	X4	R19	1418.21510	-0.1688	1.49E-2	7.23E+8
B3	X5	R15	1418.22797	-0.1530	2.73E-2	8.33E+8
B3	X4	P18	1422.36900	-0.1722	2.53E-2	8.02E+8
B3	X5	P14	1422.60982	-0.1560	9.94E-3	9.37E+8
B3	X6	P9	1424.46915	-0.1347	7.98E-3	1.17E+9
B3	X3	R23	1427.42720	-0.1826	4.16E-3	6.45E+8
B3	X5	R16	1429.62134	-0.1594	2.77E-2	8.02E+8
B3	X2	P25	1431.40713	-0.1934	2.06E-2	6.45E+8
B3	X4	R20	1431.54138	-0.1747	1.55E-2	7.26E+8
B3	X7	R1	1432.97081	-0.1115	4.79E-2	1.62E+9
B3	X6	P10	1433.35291	-0.1408	8.25E-3	1.12E+9
B3	X7	R2	1434.10203	-0.1125	4.30E-2	1.53E+9
B3	X5	P15	1434.46409	-0.1628	9.94E-3	9.07E+8
B3	X7	P1	1435.05095	-0.1130	2.40E-2	1.85E+9
B3	X7	R3	1436.12650	-0.1142	4.08E-2	1.44E+9
B3	X4	P19	1436.15978	-0.1787	2.59E-2	7.74E+8
B3	X7	P2	1437.56005	-0.1150	2.89E-2	1.73E+9
B3	X7	R4	1439.01938	-0.1166	3.95E-2	1.36E+9
B3	X7	P3	1440.94915	-0.1176	3.10E-2	1.62E+9
B3	X5	R17	1441.30357	-0.1654	2.78E-2	7.74E+8
B3	X7	R5	1442.74760	-0.1196	3.87E-2	1.29E+9
B3	X6	P11	1442.79525	-0.1471	8.57E-3	1.07E+9
B3	X4	R21	1444.96655	-0.1799	1.67E-2	6.80E+8
B3	X7	P4	1445.18816	-0.1209	3.22E-2	1.53E+9
B3	X5	P16	1446.64871	-0.1694	9.75E-3	8.64E+8
B3	X7	R6	1447.27053	-0.1232	3.80E-2	1.23E+9
B3	X2	P26	1447.87648	-0.1978	1.97E-2	6.42E+8
B4	X1	P9	1143.16509	-0.0433	1.57E-2	1.17E+9
B4	X1	R10	1144.59244	-0.0450	2.51E-2	1.02E+9
B4	X2	R1	1147.23048	-0.0235	2.07E-3	1.61E+9
B4	X0	P14	1147.71245	-0.0641	9.96E-3	9.33E+8
B4	X0	R15	1150.12844	-0.0663	9.38E-3	8.30E+8
B4	X2	R3	1151.25627	-0.0274	2.56E-3	1.43E+9
B4	X1	P10	1152.51014	-0.0508	1.62E-2	1.11E+9
B4	X1	R11	1154.00234	-0.0526	2.57E-2	9.94E+8
B4	X2	P3	1154.23413	-0.0297	6.52E-4	1.61E+9
B4	X2	R4	1154.70484	-0.0306	3.00E-3	1.36E+9
B4	X2	R5	1159.08719	-0.0345	3.53E-3	1.29E+9
B4	X0	P15	1160.46045	-0.0732	9.99E-3	8.99E+8
B4	X1	P11	1162.61297	-0.0588	1.67E-2	1.07E+9
B4	X0	R16	1162.92876	-0.0753	9.08E-3	8.02E+8
B4	X2	P5	1163.73606	-0.0382	6.40E-4	1.43E+9
B4	X1	R12	1164.15464	-0.0605	2.62E-2	9.33E+8
B4	X2	R6	1164.38070	-0.0393	4.17E-3	1.22E+9
B4	X2	R7	1170.55923	-0.0447	4.91E-3	1.17E+9
B4	X1	P12	1173.44075	-0.0670	1.73E-2	1.02E+9
B4	X0	P16	1173.83484	-0.0823	1.00E-2	8.62E+8
B4	X1	R13	1175.01416	-0.0688	2.67E-2	8.99E+8
B4	X0	R17	1176.33154	-0.0843	8.80E-3	7.71E+8
B4	X2	P7	1176.83933	-0.0494	7.20E-4	1.29E+9
B4	X2	R8	1177.59616	-0.0507	5.76E-3	1.11E+9
B4	X1	P13	1184.96389	-0.0756	1.80E-2	9.94E+8
B4	X2	R9	1185.46051	-0.0572	6.72E-3	1.07E+9
B4	X1	R14	1186.55449	-0.0772	2.71E-2	8.62E+8
B4	X0	P17	1187.80254	-0.0914	1.01E-2	8.30E+8
B4	X0	R18	1190.31829	-0.0933	8.54E-3	7.60E+8
B4	X2	P9	1193.31523	-0.0630	9.28E-4	1.17E+9
B4	X2	R10	1194.11827	-0.0642	7.79E-3	1.02E+9
B4	X1	P14	1197.15131	-0.0843	1.88E-2	9.33E+8
B4	X3	R0	1197.41666	-0.0420	2.16E-2	1.72E+9
B4	X3	R1	1197.93836	-0.0425	1.39E-2	1.61E+9
B4	X1	R15	1198.73841	-0.0858	2.75E-2	8.30E+8
B4	X3	P1	1199.33500	-0.0436	7.56E-3	1.84E+9
B4	X3	R2	1199.44280	-0.0440	1.20E-2	1.52E+9
B4	X3	P2	1201.76689	-0.0458	9.24E-3	1.72E+9
B4	X3	R3	1201.91942	-0.0463	1.09E-2	1.43E+9
B4	X0	P18	1202.34255	-0.1006	1.01E-2	8.02E+8
B4	X2	R11	1203.53785	-0.0716	8.95E-3	9.94E+8
B4	X0	R19	1204.85153	-0.1023	8.31E-3	7.21E+8
B4	X3	P3	1205.16550	-0.0488	1.00E-2	1.61E+9
B4	X3	R4	1205.35225	-0.0494	1.00E-2	1.36E+9
B4	X3	P4	1209.51266	-0.0526	1.05E-2	1.52E+9
B4	X3	R5	1209.72060	-0.0533	9.24E-3	1.29E+9
B4	X1	P15	1209.96650	-0.0931	1.95E-2	8.99E+8
B4	X1	R16	1211.54078	-0.0945	2.79E-2	8.02E+8
B4	X2	P11	1212.90656	-0.0782	1.30E-3	1.07E+9
B4	X2	R12	1213.68537	-0.0794	1.02E-2	9.33E+8
B4	X3	P5	1214.78539	-0.0571	1.08E-2	1.43E+9
B4	X3	R6	1214.99922	-0.0579	8.45E-3	1.22E+9
B4	X0	P19	1217.41486	-0.1097	1.02E-2	7.71E+8
B4	X0	R20	1219.90090	-0.1112	8.12E-3	8.68E+8
B4	X3	P6	1220.95647	-0.0623	1.10E-2	1.36E+9
B4	X3	R7	1221.15887	-0.0631	7.66E-3	1.17E+9
B4	X1	P16	1223.38234	-0.1020	2.04E-2	8.62E+8
B4	X2	P12	1223.78190	-0.0863	1.56E-3	1.02E+9
B4	X2	R13	1224.52079	-0.0873	1.15E-2	8.99E+8
B4	X1	R17	1224.91703	-0.1032	2.82E-2	7.71E+8
B4	X3	P7	1227.99523	-0.0682	1.11E-2	1.29E+9
B4	X3	R8	1228.16958	-0.0690	6.86E-3	1.11E+9
B4	X0	P20	1233.00059	-0.1187	1.03E-2	7.60E+8
B4	X2	P13	1235.33046	-0.0946	1.88E-3	9.94E+8
B4	X0	R21	1235.44631	-0.1199	7.97E-3	6.79E+8
B4	X3	P8	1235.86780	-0.0746	1.12E-2	1.22E+9
B4	X3	R9	1235.99650	-0.0753	6.05E-3	1.07E+9
B4	X2	R14	1236.01329	-0.0955	1.29E-2	8.62E+8
B4	X1	P17	1237.36017	-0.1109	2.12E-2	8.30E+8
B4	X1	R18	1238.84397	-0.1120	2.85E-2	7.60E+8
B4	X3	P9	1244.53760	-0.0814	1.12E-2	1.17E+9
B4	X3	R10	1244.60120	-0.0821	5.26E-3	1.02E+9
B4	X2	P14	1247.51621	-0.1031	2.24E-3	9.33E+8
B4	X2	R15	1248.11990	-0.1038	1.42E-2	8.30E+8
B4	X0	P21	1249.06011	-0.1275	1.04E-2	7.21E+8
B4	X4	R0	1249.29502	-0.0598	2.97E-2	1.72E+9
B4	X4	R1	1249.77461	-0.0603	2.05E-2	1.61E+9
B4	X4	R2	1251.23560	-0.0617	1.92E-2	1.52E+9
B4	X4	P1	1251.29482	-0.0615	9.31E-3	1.84E+9
B4	X0	R22	1251.42399	-0.1285	7.87E-3	6.85E+8
B4	X1	P18	1251.87397	-0.1197	2.20E-2	8.02E+8
B4	X1	R19	1253.27736	-0.1206	2.88E-2	7.21E+8
B4	X4	R3	1253.66623	-0.0639	1.91E-2	1.43E+9
B4	X4	P2	1253.76495	-0.0636	1.09E-2	1.72E+9
B4	X3	R11	1253.94766	-0.0893	4.49E-3	9.94E+8
B4	X3	P10	1253.96863	-0.0887	1.11E-2	1.11E+9
B4	X4	R4	1257.04871	-0.0669	1.93E-2	1.36E+9
B4	X4	P3	1257.19826	-0.0665	1.15E-2	1.61E+9
B4	X2	P15	1260.29682	-0.1116	2.66E-3	8.99E+8
B4	X2	R16	1260.81036	-0.1122	1.56E-2	8.02E+8
B4	X4	R5	1261.35988	-0.0706	1.98E-2	1.29E+9
B4	X4	P4	1261.57431	-0.0703	1.18E-2	1.52E+9
B4	X3	R12	1263.99704	-0.0967	3.76E-3	9.33E+8
B4	X3	P11	1264.12094	-0.0963	1.10E-2	1.07E+9
B4	X0	P22	1265.56073	-0.1361	1.05E-2	8.68E+8
B4	X4	R6	1266.57148	-0.0751	2.04E-2	1.22E+9
B4	X4	P5	1266.86729	-0.0747	1.21E-2	1.43E+9
B4	X1	P19	1266.87657	-0.1285	2.29E-2	7.71E+8
B4	X0	R23	1267.84003	-0.1368	7.83E-3	6.45E+8
B4	X1	R20	1268.18003	-0.1291	2.91E-2	8.68E+8
B4	X4	R7	1272.65065	-0.0802	2.10E-2	1.17E+9
B4	X4	P6	1273.04654	-0.0798	1.23E-2	1.36E+9
B4	X2	P16	1273.63972	-0.1202	3.11E-3	8.62E+8
B4	X2	R17	1274.03279	-0.1205	1.69E-2	7.71E+8
B4	X3	R13	1274.70344	-0.1044	3.09E-3	8.99E+8
B4	X3	P12	1274.95177	-0.1041	1.08E-2	1.02E+9
B4	X4	R8	1279.56354	-0.0858	2.16E-2	1.11E+9
B4	X4	P7	1280.07745	-0.0855	1.26E-2	1.29E+9
B4	X1	P20	1282.34313	-0.1371	2.38E-2	7.60E+8
B4	X0	P23	1282.48019	-0.1445	1.07E-2	6.79E+8
B4	X1	R21	1283.52523	-0.1374	2.95E-2	6.79E+8
B4	X0	R24	1284.61468	-0.1448	7.86E-3	6.36E+8
B4	X3	R14	1286.03053	-0.1122	2.49E-3	8.62E+8
B4	X3	P13	1286.42149	-0.1121	1.06E-2	9.94E+8
B4	X4	R9	1287.27069	-0.0919	2.22E-2	1.07E+9
B4	X2	P17	1287.49929	-0.1287	3.59E-3	8.30E+8
B4	X2	R18	1287.75790	-0.1288	1.81E-2	7.60E+8
B4	X4	P8	1287.92171	-0.0917	1.29E-2	1.22E+9
B4	X4	R10	1295.72849	-0.0984	2.28E-2	1.02E+9
B4	X4	P9	1296.53779	-0.0984	1.33E-2	1.17E+9
B4	X3	R15	1297.92830	-0.1201	1.98E-3	8.30E+8
B4	X1	P21	1298.22554	-0.1455	2.47E-2	7.21E+8
B4	X3	P14	1298.48794	-0.1202	1.04E-2	9.33E+8
B4	X1	R22	1299.23821	-0.1454	3.00E-2	6.85E+8
B4	X0	P24	1299.74829	-0.1525	1.09E-2	6.85E+8
B4	X2	P18	1301.84300	-0.1371	4.07E-3	8.02E+8
B4	X2	R19	1301.93286	-0.1370	1.92E-2	7.21E+8
B4	X4	R11	1304.89551	-0.1052	2.33E-2	9.94E+8
B4	X4	P10	1305.88447	-0.1054	1.37E-2	1.11E+9
B4	X3	P15	1311.10162	-0.1283	1.02E-2	8.99E+8
B4	X1	P22	1314.48244	-0.1535	2.55E-2	8.68E+8
B4	X4	R12	1314.72690	-0.1123	2.38E-2	9.33E+8
B4	X1	R23	1315.31860	-0.1531	3.05E-2	6.45E+8
B4	X4	P11	1315.91590	-0.1126	1.42E-2	1.07E+9
B4	X2	R20	1316.51169	-0.1449	2.02E-2	8.68E+8
B4	X2	P19	1316.61467	-0.1454	4.53E-3	7.71E+8
B4	X0	P25	1317.36921	-0.1601	1.12E-2	6.45E+8
B4	X3	R17	1323.26436	-0.1358	1.24E-3	7.71E+8
B4	X3	P16	1324.22300	-0.1364	1.00E-2	8.62E+8
B4	X4	R13	1325.16961	-0.1195	2.41E-2	8.99E+8
B4	X4	P12	1326.58273	-0.1201	1.47E-2	1.02E+9
B4	X1	P23	1331.08260	-0.1612	2.64E-2	6.79E+8
B4	X2	R21	1331.45858	-0.1525	2.10E-2	6.79E+8
B4	X1	R24	1331.67229	-0.1603	3.11E-2	6.36E+8
B4	X2	P20	1331.78140	-0.1533	4.94E-3	7.60E+8
B4	X5	P7	1332.72751	-0.1011	1.33E-3	1.29E+9
B4	X0	P26	1335.25340	-0.1673	1.17E-2	6.36E+8
B4	X4	R14	1336.18035	-0.1268	2.44E-2	8.62E+8
B4	X3	P17	1337.79766	-0.1444	9.88E-3	8.30E+8
B4	X4	P13	1337.83848	-0.1277	1.52E-2	9.94E+8
B4	X2	R22	1346.68480	-0.1597	2.15E-2	6.85E+8
B4	X2	P21	1347.28413	-0.1610	5.26E-3	7.21E+8
B4	X4	R15	1347.70035	-0.1341	2.47E-2	8.30E+8
B4	X1	P24	1347.94197	-0.1685	2.73E-2	6.85E+8
B4	X5	P9	1348.91309	-0.1133	1.34E-3	1.17E+9
B4	X4	P14	1349.63337	-0.1353	1.57E-2	9.33E+8
B4	X3	P18	1351.78447	-0.1522	9.81E-3	8.02E+8
B4	X6	R1	1355.55699	-0.0907	3.10E-2	1.61E+9
B4	X5	R11	1355.92783	-0.1190	1.46E-3	9.94E+8
B4	X6	R2	1356.85696	-0.0918	2.77E-2	1.52E+9
B4	X6	P1	1357.34562	-0.0920	1.58E-2	1.84E+9
B4	X6	R3	1359.08741	-0.0938	2.61E-2	1.43E+9
B4	X4	R16	1359.68414	-0.1414	2.49E-2	8.02E+8
B4	X6	P2	1359.83187	-0.0940	1.91E-2	1.72E+9
B4	X4	P15	1361.90890	-0.1428	1.61E-2	8.99E+8
B4	X2	R23	1362.18004	-0.1664	2.18E-2	6.45E+8
B4	X6	R4	1362.22598	-0.0965	2.50E-2	1.36E+9
B4	X2	P22	1363.06977	-0.1683	5.45E-3	8.68E+8
B4	X6	P3	1363.23941	-0.0968	2.06E-2	1.61E+9
B4	X1	P25	1365.05495	-0.1752	2.81E-2	6.45E+8
B4	X3	P19	1366.11571	-0.1597	9.84E-3	7.71E+8
B4	X6	R5	1366.24344	-0.0998	2.42E-2	1.29E+9
B4	X6	P4	1367.54218	-0.1003	2.14E-2	1.52E+9
B4	X5	P11	1367.83098	-0.1268	1.29E-3	1.07E+9
B4	X6	R6	1371.10386	-0.1038	2.34E-2	1.22E+9
B4	X4	R17	1372.05922	-0.1484	2.51E-2	7.71E+8
B4	X6	P5	1372.70717	-0.1044	2.20E-2	1.43E+9
B4	X4	P16	1374.61649	-0.1503	1.66E-2	8.62E+8
B4	X5	R13	1375.39477	-0.1322	2.32E-3	8.99E+8
B4	X6	R7	1376.76523	-0.1083	2.28E-2	1.17E+9
B4	X2	R24	1377.83133	-0.1726	2.17E-2	6.36E+8
B4	X6	P6	1378.69502	-0.1091	2.25E-2	1.36E+9
B4	X2	P23	1379.09454	-0.1751	5.48E-3	6.79E+8
B4	X3	P20	1380.74744	-0.1669	1.00E-2	7.60E+8
B4	X1	P26	1382.31322	-0.1813	2.89E-2	6.36E+8
B4	X6	R8	1383.18352	-0.1132	2.21E-2	1.11E+9
B4	X4	R18	1384.77717	-0.1552	2.54E-2	7.60E+8
B4	X6	P7	1385.46104	-0.1143	2.29E-2	1.29E+9
B4	X4	P17	1387.69043	-0.1575	1.69E-2	8.30E+8
B4	X6	R9	1390.30722	-0.1185	2.15E-2	1.07E+9
B4	X6	P8	1392.95537	-0.1199	2.32E-2	1.22E+9
B4	X2	P24	1395.25582	-0.1812	5.29E-3	6.85E+8
B4	X3	P21	1395.60590	-0.1736	1.04E-2	7.21E+8
B4	X5	R15	1396.82136	-0.1454	2.99E-3	8.30E+8
B4	X4	R19	1397.75951	-0.1616	2.56E-2	7.21E+8
B4	X6	R10	1398.07890	-0.1241	2.10E-2	1.02E+9
B4	X4	P18	1401.07799	-0.1645	1.70E-2	8.02E+8
B4	X6	P9	1401.12345	-0.1258	2.35E-2	1.17E+9
B4	X6	R11	1406.44239	-0.1299	2.05E-2	9.94E+8
B4	X6	P10	1409.91004	-0.1319	2.38E-2	1.11E+9
B4	X3	P22	1410.62170	-0.1797	1.09E-2	8.68E+8
B4	X4	R20	1410.93227	-0.1676	2.59E-2	8.68E+8
B4	X2	P25	1411.53250	-0.1866	4.85E-3	6.45E+8
B4	X7	R3	1411.79384	-0.1050	9.30E-3	1.43E+9
B4	X4	P19	1414.69618	-0.1710	1.70E-2	7.71E+8
B4	X6	R12	1415.33598	-0.1358	2.01E-2	9.33E+8
B4	X7	R5	1418.46137	-0.1105	1.05E-2	1.29E+9
B4	X6	P11	1419.25315	-0.1382	2.40E-2	1.07E+9
B4	X5	R17	1419.68710	-0.1578	3.10E-3	7.71E+8
B4	X7	R6	1422.99768	-0.1141	1.11E-2	1.22E+9
B4	X4	R21	1424.22866	-0.1729	2.61E-2	6.79E+8
B4	X6	R13	1424.68664	-0.1417	1.99E-2	8.99E+8
B4	X3	P23	1425.73255	-0.1851	1.18E-2	6.79E+8
B4	X7	R7	1428.27415	-0.1182	1.17E-2	1.17E+9
B4	X4	P20	1428.48543	-0.1770	1.68E-2	7.60E+8
B4	X6	P12	1429.08525	-0.1445	2.43E-2	1.02E+9
B4	X7	R8	1434.23999	-0.1226	1.23E-2	1.11E+9
B4	X6	R14	1434.43044	-0.1475	1.99E-2	8.62E+8
B4	X5	P17	1436.42897	-0.1673	1.74E-3	8.30E+8
B4	X4	R22	1437.51532	-0.1773	2.63E-2	6.85E+8
B4	X6	P13	1439.34029	-0.1507	2.45E-2	9.94E+8
B4	X3	P24	1440.80949	-0.1896	1.30E-2	6.85E+8
B4	X7	R9	1440.83562	-0.1274	1.27E-2	1.07E+9
B4	X4	P21	1442.35136	-0.1823	1.62E-2	7.21E+8
B4	X5	R19	1443.38181	-0.1685	2.35E-3	7.21E+8
B4	X6	R15	1444.48274	-0.1530	2.01E-2	8.30E+8
B4	X7	R10	1447.99421	-0.1323	1.30E-2	1.02E+9
B4	X6	P14	1449.94610	-0.1568	2.46E-2	9.33E+8
B5	X0	P15	1146.13271	-0.0679	1.17E-2	8.93E+8
B5	X1	P11	1147.65951	-0.0531	1.06E-2	1.09E+9
B5	X2	P5	1148.13006	-0.0320	7.60E-4	1.43E+9
B5	X0	R16	1149.00623	-0.0704	1.22E-2	8.07E+8
B5	X1	R12	1149.58661	-0.0552	2.21E-2	9.30E+8
B5	X1	P12	1158.34694	-0.0613	1.12E-2	1.01E+9
B5	X0	P16	1159.33466	-0.0770	1.18E-2	8.61E+8
B5	X1	R13	1160.32706	-0.0635	2.29E-2	8.93E+8
B5	X2	P7	1161.05082	-0.0433	7.61E-4	1.28E+9
B5	X0	R17	1162.25326	-0.0794	1.20E-2	7.69E+8
B5	X1	P13	1169.72092	-0.0698	1.18E-2	9.72E+8
B5	X2	R9	1169.91748	-0.0514	4.22E-4	1.09E+9
B5	X1	R14	1171.74035	-0.0719	2.38E-2	8.61E+8
B5	X0	P17	1173.11895	-0.0861	1.20E-2	8.27E+8
B5	X0	R18	1176.07110	-0.0884	1.18E-2	8.37E+8
B5	X2	P9	1177.30836	-0.0568	6.56E-4	1.16E+9
B5	X3	R0	1180.75058	-0.0355	2.95E-2	1.71E+9
B5	X3	R1	1181.29187	-0.0360	1.97E-2	1.60E+9
B5	X1	P14	1181.75121	-0.0785	1.25E-2	9.30E+8
B5	X3	P1	1182.59869	-0.0370	9.79E-3	1.83E+9
B5	X3	R2	1182.80519	-0.0375	1.77E-2	1.51E+9
B5	X1	R15	1183.78490	-0.0805	2.46E-2	8.27E+8
B5	X3	P2	1184.98035	-0.0392	1.17E-2	1.71E+9
B5	X3	R3	1185.27984	-0.0398	1.69E-2	1.43E+9
B5	X0	P18	1187.46634	-0.0952	1.22E-2	8.07E+8
B5	X2	R11	1187.81645	-0.0658	1.09E-3	9.72E+8
B5	X3	P3	1188.31896	-0.0421	1.26E-2	1.60E+9
B5	X3	R4	1188.69964	-0.0430	1.64E-2	1.35E+9
B5	X0	R19	1190.42492	-0.0974	1.16E-2	7.20E+8
B5	X3	P4	1192.59649	-0.0459	1.31E-2	1.51E+9
B5	X3	R5	1193.04374	-0.0469	1.60E-2	1.28E+9
B5	X1	P15	1194.39842	-0.0873	1.33E-2	8.93E+8
B5	X1	R16	1196.43752	-0.0892	2.54E-2	8.07E+8
B5	X2	P11	1196.64043	-0.0720	4.77E-4	1.09E+9
B5	X3	P5	1197.79019	-0.0504	1.34E-2	1.43E+9
B5	X2	R12	1197.85976	-0.0736	1.56E-3	9.30E+8
B5	X3	R6	1198.28621	-0.0515	1.57E-2	1.22E+9
B5	X0	P19	1202.34234	-0.1043	1.24E-2	7.69E+8
B5	X3	P6	1203.87296	-0.0557	1.37E-2	1.35E+9
B5	X3	R7	1204.40155	-0.0568	1.54E-2	1.16E+9
B5	X0	R20	1205.29367	-0.1063	1.14E-2	7.35E+8
B5	X1	P16	1207.64043	-0.0962	1.41E-2	8.61E+8
B5	X2	R13	1208.57840	-0.0816	2.12E-3	8.93E+8
B5	X1	R17	1209.65933	-0.0979	2.62E-2	7.69E+8
B5	X3	P7	1210.81429	-0.0615	1.39E-2	1.28E+9
B5	X3	R8	1211.35342	-0.0627	1.50E-2	1.11E+9
B5	X0	P20	1217.71989	-0.1133	1.26E-2	8.37E+8
B5	X3	P8	1218.57982	-0.0679	1.42E-2	1.22E+9
B5	X3	R9	1219.10947	-0.0690	1.46E-2	1.09E+9
B5	X2	R14	1219.94678	-0.0898	2.76E-3	8.61E+8
B5	X0	R21	1220.62969	-0.1150	1.12E-2	6.79E+8
B5	X1	P17	1221.43398	-0.1051	1.50E-2	8.27E+8
B5	X1	R18	1223.41900	-0.1066	2.68E-2	8.37E+8
B5	X3	P9	1227.13708	-0.0747	1.44E-2	1.16E+9
B5	X3	R10	1227.63447	-0.0758	1.41E-2	1.01E+9
B5	X4	R1	1231.66721	-0.0533	3.92E-3	1.60E+9
B5	X2	R15	1231.91734	-0.0981	3.46E-3	8.27E+8
B5	X0	P21	1233.56219	-0.1221	1.28E-2	7.20E+8
B5	X4	R3	1235.57381	-0.0569	4.43E-3	1.43E+9
B5	X1	P18	1235.75506	-0.1139	1.59E-2	8.07E+8
B5	X0	R22	1236.43923	-0.1236	1.12E-2	6.68E+8
B5	X3	P10	1236.44360	-0.0820	1.46E-2	1.11E+9
B5	X3	R11	1236.89104	-0.0830	1.36E-2	9.72E+8
B5	X1	R19	1237.67527	-0.1153	2.75E-2	7.20E+8
B5	X4	R4	1238.94776	-0.0599	4.96E-3	1.35E+9
B5	X4	R5	1243.23953	-0.0637	5.59E-3	1.28E+9
B5	X2	R16	1244.46200	-0.1064	4.20E-3	8.07E+8
B5	X3	P11	1246.46215	-0.0896	1.48E-2	1.09E+9
B5	X3	R12	1246.84145	-0.0905	1.30E-2	9.30E+8
B5	X4	P5	1248.39464	-0.0675	1.39E-3	1.43E+9
B5	X4	R6	1248.42014	-0.0682	6.32E-3	1.22E+9
B5	X0	P22	1249.84661	-0.1307	1.31E-2	7.35E+8
B5	X1	P19	1250.56263	-0.1227	1.68E-2	7.69E+8
B5	X1	R20	1252.40120	-0.1238	2.82E-2	7.35E+8
B5	X0	R23	1252.64395	-0.1319	1.11E-2	6.47E+8
