B	X	Line	Wavelength (A)	K_mu	f	Gamma (s-1)
B1	X1	R8	1175.41752	-0.0500	1.43E-2	1.12E+9
B1	X0	P13	1182.12479	-0.0738	2.22E-3	9.82E+8
B1	X0	R14	1183.14859	-0.0748	1.38E-3	8.67E+8
B1	X1	P8	1183.31078	-0.0562	1.49E-2	1.24E+9
B1	X1	R9	1183.46657	-0.0566	1.37E-2	1.07E+9
B1	X1	P9	1192.20705	-0.0633	1.48E-2	1.18E+9
B1	X1	R10	1192.35825	-0.0638	1.31E-2	1.02E+9
B1	X0	P14	1194.72632	-0.0828	2.14E-3	9.40E+8
B1	X0	R15	1195.77317	-0.0837	1.27E-3	8.36E+8
B1	X2	R0	1198.01050	-0.0444	7.00E-2	1.74E+9
B1	X2	R1	1198.48883	-0.0448	4.68E-2	1.63E+9
B1	X2	R2	1199.97224	-0.0462	4.23E-2	1.53E+9
B1	X2	P1	1200.07638	-0.0462	2.32E-2	1.86E+9
B1	X1	P10	1201.92311	-0.0709	1.47E-2	1.12E+9
B1	X1	R11	1202.06385	-0.0713	1.25E-2	9.82E+8
B1	X2	R3	1202.45275	-0.0484	4.04E-2	1.45E+9
B1	X2	P2	1202.61163	-0.0484	2.78E-2	1.74E+9
B1	X2	R4	1205.91774	-0.0515	3.93E-2	1.37E+9
B1	X2	P3	1206.13440	-0.0514	2.98E-2	1.63E+9
B1	X0	P15	1208.01556	-0.0919	2.05E-3	9.71E+8
B1	X0	R16	1209.07975	-0.0927	1.18E-3	8.04E+8
B1	X2	R5	1210.35036	-0.0554	3.87E-2	1.30E+9
B1	X2	P4	1210.62848	-0.0553	3.09E-2	1.53E+9
B1	X1	P11	1212.42989	-0.0789	1.46E-2	1.07E+9
B1	X1	R12	1212.55360	-0.0793	1.20E-2	9.40E+8
B1	X2	R6	1215.72999	-0.0600	3.82E-2	1.24E+9
B1	X2	P5	1216.07373	-0.0599	3.17E-2	1.45E+9
B1	X0	P16	1221.96715	-0.1011	1.98E-3	8.67E+8
B1	X2	R7	1222.03269	-0.0653	3.77E-2	1.18E+9
B1	X2	P6	1222.44659	-0.0653	3.22E-2	1.37E+9
B1	X0	R17	1223.02829	-0.1018	1.09E-3	7.76E+8
B1	X1	P12	1223.69754	-0.0872	1.44E-2	1.02E+9
B1	X1	R13	1223.79462	-0.0875	1.14E-2	9.71E+8
B1	X2	R8	1229.23182	-0.0712	3.73E-2	1.12E+9
B1	X2	P7	1229.72061	-0.0712	3.27E-2	1.30E+9
B1	X1	P13	1235.69563	-0.0958	1.42E-2	9.82E+8
B1	X1	R14	1235.75744	-0.0960	1.09E-2	8.67E+8
B1	X0	P17	1236.54993	-0.1104	1.90E-3	8.36E+8
B1	X2	R9	1237.29831	-0.0777	3.68E-2	1.07E+9
B1	X0	R18	1237.59492	-0.1109	1.02E-3	7.49E+8
B1	X2	P8	1237.86704	-0.0778	3.32E-2	1.24E+9
B1	X2	R10	1246.20115	-0.0846	3.64E-2	1.02E+9
B1	X2	P9	1246.85523	-0.0848	3.36E-2	1.18E+9
B1	X1	P14	1248.39317	-0.1046	1.41E-2	9.40E+8
B1	X1	R15	1248.40631	-0.1047	1.04E-2	8.36E+8
B1	X0	P18	1251.74128	-0.1197	1.84E-3	8.04E+8
B1	X0	R19	1252.74291	-0.1200	9.60E-4	7.24E+8
B1	X3	R0	1253.50458	-0.0653	6.64E-2	1.74E+9
