# Data for C+ transitions (P and R) 
#  Number of transitions: 608 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 osc strength f 		 Gamma [1/s]
     7      1      6      4              1165.48          4.28000E-02          1.15000E+09
     2      1      3      4              1166.09          1.98000E-02          1.16000E+09
    17      1     16      3              1166.74          1.71000E-02          1.09000E+09
    12      1     13      3              1167.19          3.57000E-02          1.05000E+09
    18      1     19      2              1167.64          3.43000E-03          1.08000E+09
     8      1      7      4              1168.07          3.80000E-02          1.14000E+09
     3      1      4      4              1168.79          2.38000E-02          1.16000E+09
    23      1     24      1              1170.82          2.07000E-02          9.37000E+08
     9      1      8      4              1171.33          1.71000E-02          1.09000E+09
     4      1      5      4              1171.96          2.77000E-02          1.15000E+09
    18      1     17      3              1172.87          1.31000E-02          1.08000E+09
    13      1     14      3              1173.00          3.08000E-02          1.11000E+09
    10      1      9      4              1174.21          4.39000E-02          1.13000E+09
     5      1      6      4              1175.04          7.45000E-03          1.12000E+09
    19      1     20      2              1175.24          3.67000E-03          1.07000E+09
    11      1     10      4              1178.00          3.91000E-02          1.12000E+09
    19      1     18      3              1178.99          1.71000E-02          1.07000E+09
     6      1      7      4              1179.22          2.31000E-02          1.15000E+09
    24      1     25      1              1179.37          1.72000E-02          1.04000E+09
    14      1     15      3              1179.55          3.73000E-02          1.10000E+09
    12      1     11      4              1182.38          1.68000E-02          1.05000E+09
    20      1     21      2              1183.12          3.82000E-03          9.99000E+08
     7      1      8      4              1183.53          2.67000E-02          1.15000E+09
    20      1     19      3              1185.46          7.04000E-03          9.99000E+08
    15      1     16      3              1185.97          3.00000E-02          1.10000E+09
    13      1     12      4              1186.23          4.23000E-02          1.11000E+09
    25      1     26      1              1188.03          1.61000E-02          1.03000E+09
     8      1      9      4              1188.16          2.90000E-02          1.14000E+09
    21      1     22      2              1190.74          4.32000E-03          1.06000E+09
    14      1     13      4              1190.92          3.69000E-02          1.10000E+09
    21      1     20      3              1191.71          1.72000E-02          1.06000E+09
    16      1     17      3              1192.78          3.79000E-02          1.09000E+09
     9      1     10      4              1193.35          2.74000E-02          1.09000E+09
    15      1     14      4              1195.55          4.30000E-02          1.10000E+09
    10      1     11      4              1197.99          2.72000E-02          1.13000E+09
    22      1     21      3              1198.13          2.02000E-02          1.05000E+09
    22      1     23      2              1198.48          4.40000E-03          1.05000E+09
    17      1     18      3              1199.47          3.23000E-02          1.09000E+09
    16      1     15      4              1200.65          4.02000E-02          1.09000E+09
    11      1     12      4              1203.44          2.99000E-02          1.12000E+09
    23      1     22      3              1204.73          6.90000E-03          9.37000E+08
     2      1      1      5              1204.92          3.64000E-02          1.16000E+09
     3      1      2      5              1204.98          3.06000E-02          1.16000E+09
     1      1      0      5              1205.32          6.94000E-02          1.16000E+09
     4      1      3      5              1205.54          2.91000E-02          1.15000E+09
    17      1     16      4              1205.68          4.27000E-02          1.09000E+09
     5      1      4      5              1206.01          1.04000E-02          1.12000E+09
