# Data for B'+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
    10      0      9      3              1030.11          5.73153E+07          1.00800E-02          3.31038E+08
    10      0     11      4              1085.04          1.11684E+07          1.80100E-03          3.31038E+08
    10      0      9      4              1065.49          2.63874E+07          4.96600E-03          3.31038E+08
    10      0     11      5              1120.09          2.24999E+06          3.86600E-04          3.31038E+08
    10      0      9      5              1100.60          6.69353E+06          1.34400E-03          3.31038E+08
    10      0     11      6              1154.34          1.59339E+05          2.90800E-05          3.31038E+08
    10      0      9      6              1135.12          7.79972E+05          1.66600E-04          3.31038E+08
    10      0     11      7              1187.28          3.22029E+02          6.21700E-08          3.31038E+08
    10      0      9      7              1168.57          2.19457E+04          4.96800E-06          3.31038E+08
    10      0     11      8              1218.28          6.41457E+02          1.30400E-07          3.31038E+08
    10      0      9      8              1200.42          2.58448E+02          6.17400E-08          3.31038E+08
    10      0     11      9              1246.53          3.49491E+01          7.43700E-09          3.31038E+08
    10      0      9      9              1229.95          1.70775E+02          4.28300E-08          3.31038E+08
    10      0     11     10              1271.01          9.97249E+00          2.20600E-09          3.31038E+08
    10      0      9     10              1256.27          2.29857E+00          6.01400E-10          3.31038E+08
    10      0     11     11              1290.35          2.50525E+00          5.71300E-10          3.31038E+08
    10      0      9     11              1278.25          8.14125E-02          2.20500E-11          3.31038E+08
    10      0      9     12              1294.40          4.09692E-02          1.13800E-11          3.31038E+08
    11      0     12      0               949.68          6.47679E+06          8.06100E-04          3.20856E+08
    11      0     10      0               929.66          1.15951E+07          1.64600E-03          3.20856E+08
    11      0     12      1               984.59          2.42490E+07          3.24400E-03          3.20856E+08
    11      0     10      1               964.20          4.37993E+07          6.69000E-03          3.20856E+08
    11      0     12      2              1019.79          3.55428E+07          5.10100E-03          3.20856E+08
    11      0     10      2               999.10          6.95451E+07          1.14000E-02          3.20856E+08
    11      0     12      3              1055.07          2.60215E+07          3.99700E-03          3.20856E+08
    11      0     10      3              1034.20          5.72353E+07          1.00600E-02          3.20856E+08
    11      0     12      4              1090.19          1.03845E+07          1.70300E-03          3.20856E+08
    11      0     10      4              1069.26          2.62969E+07          4.93900E-03          3.20856E+08
    11      0     12      5              1124.79          2.05284E+06          3.58400E-04          3.20856E+08
    11      0     10      5              1103.99          6.74898E+06          1.35100E-03          3.20856E+08
    11      0     12      6              1158.47          1.11122E+05          2.05800E-05          3.20856E+08
    11      0     10      6              1138.01          7.76579E+05          1.65200E-04          3.20856E+08
    11      0     12      7              1190.69          1.52117E+01          2.97600E-09          3.20856E+08
    11      0     10      7              1170.87          1.68735E+04          3.80000E-06          3.20856E+08
    11      0     12      8              1220.78          6.72793E+01          1.38400E-08          3.20856E+08
    11      0     10      8              1201.96          3.95244E+02          9.38100E-08          3.20856E+08
    11      0     12      9              1247.88          9.33323E+02          2.00600E-07          3.20856E+08
    11      0     10      9              1230.57          2.97079E+02          7.39100E-08          3.20856E+08
    11      0     12     10              1270.89          9.72101E+01          2.16700E-08          3.20856E+08
    11      0     10     10              1255.74          5.77387E+02          1.49600E-07          3.20856E+08
    11      0     12     11              1288.26          1.85240E+01          4.24300E-09          3.20856E+08
    11      0     10     11              1276.27          2.38955E+02          6.39400E-08          3.20856E+08
    11      0     10     12              1290.45          1.18495E+02          3.24200E-08          3.20856E+08
    12      0     13      0               956.12          6.01669E+06          7.63900E-04          3.09700E+08
    12      0     11      0               934.74          1.09208E+07          1.55600E-03          3.09700E+08
    12      0     13      1               990.86          2.26522E+07          3.08900E-03          3.09700E+08
    12      0     11      1               969.12          4.26696E+07          6.53400E-03          3.09700E+08
    12      0     13      2              1025.83          3.32013E+07          4.85300E-03          3.09700E+08
    12      0     11      2              1003.81          6.77734E+07          1.11300E-02          3.09700E+08
    12      0     13      3              1060.82          2.45090E+07          3.83100E-03          3.09700E+08
    12      0     11      3              1038.64          5.65441E+07          9.94500E-03          3.09700E+08
    12      0     13      4              1095.54          9.61277E+06          1.60200E-03          3.09700E+08
    12      0     11      4              1073.35          2.64880E+07          4.97500E-03          3.09700E+08
    12      0     13      5              1129.64          1.78609E+06          3.16600E-04          3.09700E+08
    12      0     11      5              1107.64          6.67836E+06          1.33600E-03          3.09700E+08
    12      0     13      6              1162.68          9.46734E+04          1.77800E-05          3.09700E+08
    12      0     11      6              1141.12          7.34987E+05          1.56000E-04          3.09700E+08
    12      0     13      7              1194.09          2.26406E+02          4.48400E-08          3.09700E+08
    12      0     11      7              1173.30          1.54229E+04          3.46200E-06          3.09700E+08
    12      0     13      8              1223.16          8.08704E+02          1.68000E-07          3.09700E+08
    12      0     11      8              1203.56          9.50897E+02          2.24600E-07          3.09700E+08
    12      0     13      9              1248.97          3.87932E+01          8.40500E-09          3.09700E+08
    12      0     11      9              1231.13          1.67123E+02          4.13000E-08          3.09700E+08
    12      0     13     10              1270.29          2.04224E+01          4.57700E-09          3.09700E+08
    12      0     11     10              1255.00          9.77119E+01          2.50900E-08          3.09700E+08
    12      0     11     11              1273.86          3.87720E+00          1.02600E-09          3.09700E+08
    13      0     14      0               962.87          5.54854E+06          7.18400E-04         -1.00000E+00
    13      0     12      0               940.22          1.03055E+07          1.47600E-03         -1.00000E+00
    13      0     14      1               997.43          2.11227E+07          2.93500E-03         -1.00000E+00
    13      0     12      1               974.42          4.08694E+07          6.28600E-03         -1.00000E+00
    13      0     14      2              1032.15          3.10549E+07          4.62000E-03         -1.00000E+00
    13      0     12      2              1008.88          6.58035E+07          1.08500E-02         -1.00000E+00
    13      0     14      3              1066.79          2.29521E+07          3.64800E-03         -1.00000E+00
    13      0     12      3              1043.40          5.57036E+07          9.82400E-03         -1.00000E+00
    13      0     14      4              1101.07          8.90308E+06          1.50700E-03         -1.00000E+00
    13      0     12      4              1077.73          2.63444E+07          4.95700E-03         -1.00000E+00
    13      0     14      5              1134.61          1.56740E+06          2.81800E-04         -1.00000E+00
    13      0     12      5              1111.54          6.59269E+06          1.32000E-03         -1.00000E+00
    13      0     14      6              1166.94          6.73492E+04          1.28100E-05         -1.00000E+00
    13      0     12      6              1144.42          6.99867E+05          1.48500E-04         -1.00000E+00
    13      0     14      7              1197.45          1.09193E+03          2.18700E-07         -1.00000E+00
    13      0     12      7              1175.85          1.18981E+04          2.66500E-06         -1.00000E+00
    13      0     14      8              1225.37          9.17753E+02          1.92500E-07         -1.00000E+00
    13      0     12      8              1205.18          1.64412E+03          3.86900E-07         -1.00000E+00
    13      0     14      9              1249.71          2.37426E+01          5.17900E-09         -1.00000E+00
    13      0     12      9              1231.59          1.34334E+02          3.30100E-08         -1.00000E+00
    13      0     14     10              1269.09          6.28970E+01          1.41500E-08         -1.00000E+00
