# Data for D+ transitions (P and R) 
#  JU 	 VU 	 JL 	 VL 		 lambda [A] 		 Aul [1/s] 		 oscillator strength f 		 Gamma [1/s]
     6      0      7      4              1038.14          6.98645E+06          9.78310E-04          3.50315E+08
     6      0      5      4              1025.79          1.32244E+07          2.46549E-03          3.50315E+08
     6      0      7      5              1072.50          5.95209E+04          8.89556E-06          3.50315E+08
     6      0      5      5              1060.13          5.52714E+06          1.10059E-03          3.50315E+08
     6      0      7      6              1106.39          2.68582E+05          4.27171E-05          3.50315E+08
     6      0      5      6              1094.10          1.80827E+06          3.83517E-04          3.50315E+08
     6      0      7      7              1139.41          1.37867E+05          2.32557E-05          3.50315E+08
     6      0      5      7              1127.33          3.64730E+05          8.21266E-05          3.50315E+08
     6      0      7      8              1171.07          7.29366E+03          1.29964E-06          3.50315E+08
     6      0      5      8              1159.37          2.60116E+04          6.19474E-06          3.50315E+08
     6      0      7      9              1200.75          6.30832E+02          1.18177E-07          3.50315E+08
     6      0      5      9              1189.66          3.46541E+01          8.68973E-09          3.50315E+08
     6      0      7     10              1227.69          1.22408E+02          2.39717E-08          3.50315E+08
     6      0      5     10              1217.47          2.97337E+02          7.80861E-08          3.50315E+08
     6      0      7     11              1250.92          6.56715E+00          1.33520E-09          3.50315E+08
     6      0      5     11              1241.94          4.30880E-02          1.17750E-11          3.50315E+08
     6      0      7     12              1269.22          4.76978E+00          9.98350E-10          3.50315E+08
     6      0      5     12              1261.96          9.13377E+00          2.57721E-09          3.50315E+08
     6      0      7     13              1280.93          1.11713E+00          2.38158E-10          3.50315E+08
     6      0      5     13              1276.16          4.03567E-02          1.16448E-11          3.50315E+08
     7      0      8      0               905.13          2.47573E+07          2.68301E-03          3.48103E+08
     7      0      6      0               891.91          1.18346E+07          1.62856E-03          3.48103E+08
     7      0      8      1               938.74          7.27608E+07          8.48175E-03          3.48103E+08
     7      0      6      1               925.25          3.11192E+07          4.60839E-03          3.48103E+08
     7      0      8      2               972.75          8.09590E+07          1.01337E-02          3.48103E+08
     7      0      6      2               959.03          3.45196E+07          5.49201E-03          3.48103E+08
     7      0      8      3              1007.00          4.03820E+07          5.41686E-03          3.48103E+08
     7      0      6      3               993.10          2.33666E+07          3.98648E-03          3.48103E+08
     7      0      8      4              1041.29          7.36153E+06          1.05588E-03          3.48103E+08
     7      0      6      4              1027.29          1.21963E+07          2.22650E-03          3.48103E+08
     7      0      8      5              1075.37          4.17919E+04          6.39301E-06          3.48103E+08
     7      0      6      5              1061.36          5.60515E+06          1.09224E-03          3.48103E+08
     7      0      8      6              1108.90          3.62205E+05          5.89164E-05          3.48103E+08
     7      0      6      6              1095.00          2.12276E+06          4.40289E-04          3.48103E+08
     7      0      8      7              1141.47          1.74973E+05          3.01580E-05          3.48103E+08
     7      0      6      7              1127.85          4.91484E+05          1.08148E-04          3.48103E+08
     7      0      8      8              1172.58          8.01325E+03          1.45746E-06          3.48103E+08
     7      0      6      8              1159.43          3.77416E+04          8.77644E-06          3.48103E+08
     7      0      8      9              1201.59          9.81351E+02          1.87430E-07          3.48103E+08
     7      0      6      9              1189.17          4.29611E+01          1.05091E-08          3.48103E+08
     7      0      8     10              1227.69          3.16052E+02          6.30144E-08          3.48103E+08
     7      0      6     10              1216.32          4.68190E+02          1.19819E-07          3.48103E+08
     7      0      8     11              1249.88          4.36890E+00          9.02842E-10          3.48103E+08
     7      0      6     11              1240.00          9.68684E+00          2.57651E-09          3.48103E+08
     7      0      8     12              1266.85          4.30859E+00          9.14720E-10          3.48103E+08
     7      0      6     12              1259.06          1.23813E+00          3.39519E-10          3.48103E+08
     7      0      6     13              1272.03          1.29458E-01          3.62349E-11          3.48103E+08
     8      0      9      0               909.29          2.33275E+07          2.58720E-03          3.44803E+08
     8      0      7      0               894.53          1.26615E+07          1.72145E-03          3.44803E+08
     8      0      9      1               942.78          7.11572E+07          8.48388E-03          3.44803E+08
     8      0      7      1               927.73          3.16590E+07          4.62974E-03          3.44803E+08
     8      0      9      2               976.63          8.21124E+07          1.05057E-02          3.44803E+08
     8      0      7      2               961.34          3.26884E+07          5.13287E-03          3.44803E+08
     8      0      9      3              1010.68          4.24709E+07          5.81926E-03          3.44803E+08
     8      0      7      3               995.20          2.05618E+07          3.46019E-03          3.44803E+08
     8      0      9      4              1044.70          7.85695E+06          1.15025E-03          3.44803E+08
     8      0      7      4              1029.14          1.07127E+07          1.92780E-03          3.44803E+08
     8      0      9      5              1078.44          2.27759E+04          3.55322E-06          3.44803E+08
     8      0      7      5              1062.90          5.56417E+06          1.06806E-03          3.44803E+08
     8      0      9      6              1111.56          5.01931E+05          8.31880E-05          3.44803E+08
     8      0      7      6              1096.17          2.51482E+06          5.13428E-04          3.44803E+08
     8      0      9      7              1143.62          2.32159E+05          4.07290E-05          3.44803E+08
     8      0      7      7              1128.58          6.85364E+05          1.48320E-04          3.44803E+08
     8      0      9      8              1174.10          9.63602E+03          1.78182E-06          3.44803E+08
     8      0      7      8              1159.63          6.02189E+04          1.37590E-05          3.44803E+08
     8      0      9      9              1202.33          2.07308E+03          4.01993E-07          3.44803E+08
     8      0      7      9              1188.73          1.71609E+02          4.12023E-08          3.44803E+08
     8      0      9     10              1227.47          6.03575E+02          1.21986E-07          3.44803E+08
     8      0      7     10              1215.13          7.89765E+02          1.98132E-07          3.44803E+08
     8      0      9     11              1248.46          5.50037E+01          1.14999E-08          3.44803E+08
     8      0      7     11              1237.88          2.54877E+01          6.63592E-09          3.44803E+08
     8      0      9     12              1263.86          5.00449E+01          1.07228E-08          3.44803E+08
     8      0      7     12              1255.79          9.75292E+01          2.61328E-08          3.44803E+08
     8      0      7     13              1267.26          1.77103E+00          4.83248E-10          3.44803E+08
     9      0     10      0               913.82          2.07125E+07          2.34609E-03          3.39380E+08
     9      0      8      0               897.59          1.44961E+07          1.95689E-03          3.39380E+08
     9      0     10      1               947.17          6.72618E+07          8.18488E-03          3.39380E+08
     9      0      8      1               930.63          3.41278E+07          4.95248E-03          3.39380E+08
     9      0     10      2               980.83          8.19580E+07          1.06947E-02          3.39380E+08
     9      0      8      2               964.04          3.10851E+07          4.84070E-03          3.39380E+08
     9      0     10      3              1014.63          4.47975E+07          6.25552E-03          3.39380E+08
     9      0      8      3               997.68          1.70150E+07          2.83774E-03          3.39380E+08
     9      0     10      4              1048.36          8.57179E+06          1.27785E-03          3.39380E+08
     9      0      8      4              1031.32          8.62624E+06          1.53736E-03          3.39380E+08
     9      0     10      5              1081.72          4.12660E+03          6.54954E-07          3.39380E+08
     9      0      8      5              1064.74          5.31293E+06          1.00921E-03          3.39380E+08
     9      0     10      6              1114.36          7.77246E+05          1.30919E-04          3.39380E+08
     9      0      8      6              1097.60          3.10828E+06          6.27436E-04          3.39380E+08
     9      0     10      7              1145.84          3.23452E+05          5.76041E-05          3.39380E+08
     9      0      8      7              1129.50          1.06004E+06          2.26600E-04          3.39380E+08
     9      0     10      8              1175.61          1.30528E+04          2.44694E-06          3.39380E+08
     9      0      8      8              1159.96          1.04948E+05          2.36604E-05          3.39380E+08
     9      0     10      9              1202.96          3.61881E+03          7.10328E-07          3.39380E+08
     9      0      8      9              1188.34          8.46117E+02          2.00204E-07          3.39380E+08
     9      0     10     10              1227.00          2.38272E+03          4.86582E-07          3.39380E+08
     9      0      8     10              1213.86          1.45434E+03          3.59060E-07          3.39380E+08
     9      0     10     11              1246.60          1.21967E+03          2.57091E-07          3.39380E+08
     9      0      8     11              1235.55          9.98481E+01          2.55401E-08          3.39380E+08
     9      0     10     12              1260.12          8.26484E+02          1.78014E-07          3.39380E+08
     9      0      8     12              1252.13          2.39758E+03          6.29845E-07          3.39380E+08
    10      0     11      0               918.71          1.62408E+07          1.87635E-03          3.28219E+08
    10      0      9      0               901.08          1.86655E+07          2.51123E-03          3.28219E+08
    10      0     11      1               951.90          5.79344E+07          7.18565E-03          3.28219E+08
    10      0      9      1               933.95          3.92503E+07          5.67304E-03          3.28219E+08
    10      0     11      2               985.35          7.93004E+07          1.05392E-02          3.28219E+08
    10      0      9      2               967.16          2.95845E+07          4.58547E-03          3.28219E+08
    10      0     11      3              1018.88          4.76138E+07          6.76601E-03          3.28219E+08
    10      0      9      3              1000.53          1.19102E+07          1.97564E-03          3.28219E+08
    10      0     11      4              1052.27          9.33366E+06          1.41467E-03          3.28219E+08
    10      0      9      4              1033.87          5.26997E+06          9.33392E-04          3.28219E+08
    10      0     11      5              1085.20          5.36475E+03          8.64811E-07          3.28219E+08
    10      0      9      5              1066.90          4.76815E+06          8.99340E-04          3.28219E+08
    10      0     11      6              1117.32          1.36874E+06          2.33898E-04          3.28219E+08
    10      0      9      6              1099.30          4.27523E+06          8.56087E-04          3.28219E+08
    10      0     11      7              1148.16          6.05721E+05          1.09301E-04          3.28219E+08
    10      0      9      7              1130.65          1.84234E+06          3.90259E-04          3.28219E+08
    10      0     11      8              1177.12          1.41304E+04          2.68006E-06          3.28219E+08
    10      0      9      8              1160.44          2.11748E+05          4.72485E-05          3.28219E+08
    10      0     11      9              1203.47          1.44160E+04          2.85804E-06          3.28219E+08
    10      0      9      9              1188.01          8.84736E+02          2.06908E-07          3.28219E+08
    10      0     11     10              1226.28          2.72410E+03          5.60724E-07          3.28219E+08
    10      0      9     10              1212.55          5.90877E+03          1.43952E-06          3.28219E+08
    10      0     11     11              1244.27          2.32944E+01          4.93665E-09          3.28219E+08
    10      0      9     11              1233.02          1.08727E+02          2.73906E-08          3.28219E+08
    10      0      9     12              1248.04          1.08469E+01          2.79953E-09          3.28219E+08
    11      0     12      0               924.05          7.92033E+06          9.32781E-04          2.98978E+08
    11      0     10      0               905.08          2.74354E+07          3.69025E-03          2.98978E+08
    11      0     12      1               957.06          3.77192E+07          4.76529E-03          2.98978E+08
    11      0     10      1               937.79          4.96824E+07          7.17425E-03          2.98978E+08
    11      0     12      2               990.29          6.68186E+07          9.03787E-03          2.98978E+08
    11      0     10      2               970.77          2.59502E+07          4.01553E-03          2.98978E+08
    11      0     12      3              1023.53          4.88023E+07          7.05158E-03          2.98978E+08
    11      0     10      3              1003.88          4.21669E+06          6.97748E-04          2.98978E+08
    11      0     12      4              1056.54          1.03199E+07          1.58889E-03          2.98978E+08
    11      0     10      4              1036.88          9.14551E+05          1.61447E-04          2.98978E+08
    11      0     12      5              1089.01          1.37566E+05          2.25021E-05          2.98978E+08
    11      0     10      5              1069.50          3.33677E+06          6.26692E-04          2.98978E+08
    11      0     12      6              1120.55          3.00977E+06          5.21247E-04          2.98978E+08
    11      0     10      6              1101.40          6.71192E+06          1.33691E-03          2.98978E+08
    11      0     12      7              1150.67          1.29908E+06          2.37238E-04          2.98978E+08
    11      0     10      7              1132.15          4.05124E+06          8.52627E-04          2.98978E+08
    11      0     12      8              1178.75          1.63232E+04          3.12819E-06          2.98978E+08
    11      0     10      8              1161.20          5.43332E+05          1.20293E-04          2.98978E+08
    11      0     12      9              1204.00          5.51231E+04          1.10212E-05          2.98978E+08
    11      0     10      9              1187.87          4.19045E+03          9.70877E-07          2.98978E+08
    11      0     12     10              1225.40          9.01704E+03          1.86752E-06          2.98978E+08
    11      0     10     10              1211.31          2.31023E+04          5.56584E-06          2.98978E+08
    11      0     12     11              1241.54          2.73330E-01          5.81109E-11          2.98978E+08
    11      0     10     11              1230.40          3.83800E+02          9.54035E-08          2.98978E+08
    11      0     10     12              1243.58          3.40815E+02          8.65427E-08          2.98978E+08
    12      0     13      0               928.12          4.00260E+07          4.78612E-03          2.96595E+08
    12      0     11      0               907.96          2.08050E+06          2.79496E-04          2.96595E+08
    12      0     13      1               960.82          8.20766E+07          1.05182E-02          2.96595E+08
    12      0     11      1               940.37          4.27039E+03          6.15362E-07          2.96595E+08
    12      0     13      2               993.67          5.02934E+07          6.89338E-03          2.96595E+08
